player,club,pos,double_barrel,picture,19-20 Power Rk,20-21 Power Rk,21-22 Power Rk
Mat Ryan,ARS,G,no,yes,174,413,
Matej Vydra,BUR,F,no,yes,325,256,353
Mateo Kovacic,CHE,M,no,yes,39,122,49
Mateusz Klich,LEE,M,no,yes,,164,222
Matheus Pereira,WBA,"M,F",no,yes,,95,
Mathias Antonsen Normann,NOR,M,no,yes,,,243
Mathias Jensen,BRF,M,no,yes,,,98
Matt Doherty,TOT,D,no,yes,27,111,115
Matt Phillips,WBA,M,no,yes,,289,
Matt Ritchie,NEW,"D,M",no,yes,197,297,389
Matt Targett,NEW,D,no,yes,120,119,160
Matteo Guendouzi,ARS,M,no,yes,171,,
Matthew Cash,AVL,D,no,yes,,54,80
Matthew Longstaff,NEW,M,no,yes,423,431,
Matthew Lowton,BUR,D,no,yes,336,195,175
Matty James,LEI,M,no,yes,504,,
Max Aarons,NOR,D,no,yes,390,,416
Max Lowe,SHU,D,no,yes,,399,
Max Meyer,CRY,M,no,yes,422,,
Max Thompson,BUR,F,no,yes,498,,
Maxime Le Marchand,FUL,D,no,yes,,470,
Maximilian Kilman,WOL,D,no,yes,443,281,163
Maxwel Cornet,BUR,"D,M,F",no,yes,,,170
Maya Yoshida,SOU,D,no,yes,426,,
Mbaye Diagne,WBA,F,no,yes,,307,
Mbwana Samatta,AVL,F,no,yes,405,,
Mesut Ozil,ARS,M,no,yes,273,,
Michael Hector,FUL,D,no,yes,,440,
Michael Keane,EVE,D,no,yes,189,151,147
Michael McGovern,NOR,G,yes,yes,460,,
Michael Obafemi,SOU,F,no,yes,330,513,
Michael Olise,CRY,F,no,yes,,,132
Michail Antonio,WHU,F,no,yes,16,38,110
Michy Batshuayi,CRY,F,no,yes,380,349,
Miguel Almiron,NEW,M,no,yes,179,150,207
Milot Rashica,NOR,M,no,yes,,,369
Mohamed Elneny,ARS,M,no,yes,,322,246
Mohamed Elyounoussi,SOU,M,no,yes,,,235
Mohamed Salah,LIV,F,no,yes,8,33,1
Mohammed Salisu,SOU,D,no,yes,,294,144
Moise Kean,EVE,F,no,yes,270,495,531
Moises Caicedo,BHA,M,no,yes,,,284
Morgan Gibbs-White,WOL,M,yes,yes,453,357,530
Morgan Sanson,AVL,M,no,yes,,387,313
Morgan Schneiderlin,EVE,M,no,yes,314,,
Moritz Leitner,NOR,M,no,yes,417,,
Moussa Djenepo,SOU,M,no,yes,237,174,435
Moussa Sissoko,WAT,M,no,yes,218,264,368
Muhamed Besic,SHU,M,no,yes,384,,
Nabil Bentaleb,NEW,M,no,yes,343,,
Naby Keita,LIV,M,no,yes,87,250,93
Nacho Monreal,ARS,D,no,yes,361,,
Nampalys Mendy,LEI,M,no,yes,319,304,394
Nathan Ake,MCI,D,no,yes,283,231,156
Nathan Broadhead,EVE,F,no,yes,,477,
Nathan Collins,BUR,D,no,yes,,,81
Nathan Ferguson,CRY,D,no,yes,,,526
Nathan Holland,WHU,M,no,yes,477,,
Nathan Redmond,SOU,M,no,yes,135,238,148
Nathan Tella,SOU,M,no,yes,471,385,370
Nathan Young-Coombes,BRF,F,yes,yes,,,520
Nathaniel Chalobah,WAT,M,no,yes,408,,
Nathaniel Clyne,CRY,D,no,yes,,415,292
Nathaniel Phillips,LIV,D,no,yes,,40,
Neal Maupay,BHA,F,no,yes,272,219,259
Neco Williams,LIV,D,no,yes,292,303,486
Neeskens Kebano,FUL,M,no,yes,,463,
Neil Taylor,AVL,D,no,yes,406,521,
Nelson Semedo,WOL,D,no,yes,,101,96
Nemanja Matic,MUN,M,no,yes,105,125,113
Ngolo Kante,CHE,M,yes,yes,80,86,26
Niall Huggins,LEE,F,no,yes,,519,
Nick Pope,BUR,G,no,yes,107,133,200
Nicolas Nkoulou,WAT,D,no,yes,,,461
Nicolas Otamendi,MCI,D,no,yes,52,,
Nicolas Pepe,ARS,"M,F",no,yes,32,52,218
Niels Nkounkou,EVE,D,no,yes,,388,
Nikola Vlasic,WHU,M,no,yes,,,331
Nuno Tavares,ARS,D,no,yes,,,173
Odion Ighalo,MUN,F,no,yes,480,523,
Odsonne Edouard,CRY,F,no,yes,,,131
Okay Yokuslu,WBA,M,no,yes,,121,
Ola Aina,FUL,D,no,yes,,277,
Oleksandr Zinchenko,MCI,D,no,yes,70,62,97
Oliver Burke,SHU,M,no,yes,,371,
Oliver McBurnie,SHU,F,yes,yes,85,301,
Oliver Norwood,SHU,M,no,yes,178,331,
Oliver Skipp,TOT,M,no,yes,458,,410
Olivier Giroud,CHE,F,no,yes,96,209,
Ollie Watkins,AVL,F,no,yes,,102,224
Ondrej Duda,NOR,M,no,yes,351,,
Onel Hernandez,NOR,M,no,yes,181,,
Oriol Romeu,SOU,M,no,yes,251,140,251
Orjan Nyland,AVL,G,no,yes,429,,
Oskar Buur,WOL,D,no,yes,,520,
Oumar Niasse,EVE,F,no,yes,513,,
Owen Otasowie,WOL,M,no,yes,,374,
Ozan Kabak,NOR,D,no,yes,,232,428
Ozan Tufan,WAT,M,no,yes,,,445
Pablo Fornals,WHU,M,no,yes,162,120,141
Pablo Hernandez,LEE,M,no,yes,,433,
Pablo Mari,ARS,D,no,yes,346,329,395
Pablo Zabaleta,WHU,D,no,yes,425,,
Pascal Gross,BHA,M,no,yes,165,25,50
Pascal Struijk,LEE,D,no,yes,,202,355
Patrick Bamford,LEE,F,no,yes,,88,307
Patrick Cutrone,WOL,F,no,yes,381,515,
Patrick Roberts,NOR,F,no,yes,478,,
Patrick van Aanholt,CRY,D,yes,yes,137,360,
Patson Daka,LEI,F,no,yes,,,215
Paul Dummett,NEW,D,no,yes,357,412,459
Paul Pogba,MUN,M,no,yes,73,13,41
Paulo Gazzaniga,TOT,G,no,yes,112,,
Pedro,CHE,F,no,yes,147,,
Pedro Neto,WOL,F,no,yes,168,16,360
Pelenda Joshua Da Silva,BRF,M,no,yes,,,415
Pepe Reina,AVL,G,no,yes,320,,
Percy Tau,BHA,F,no,yes,,455,
Peter Etebo,WAT,M,no,yes,,,441
Phil Bardsley,BUR,D,no,yes,183,435,
Phil Foden,MCI,"M,F",no,yes,93,8,16
Phil Jagielka,SHU,D,no,yes,438,426,
Phil Jones,MUN,D,no,yes,356,,371
Philip Billing,BOU,M,no,yes,128,,
Philippe Coutinho,AVL,M,no,yes,,,75
Pierre Lees-Melou,NOR,M,yes,yes,,,297
Pierre-Emerick Aubameyang,ARS,F,yes,yes,57,144,219
Pierre-Emile Hojbjerg,TOT,M,yes,yes,111,188,72
Pontus Jansson,BRF,D,no,yes,,,233
Przemyslaw Placheta,NOR,M,no,yes,,,432
Raheem Sterling,MCI,F,no,yes,22,26,9
Rakeem Harper,WBA,M,no,yes,,478,
Ralf Fahrmann,NOR,G,no,yes,451,,
Raphael Varane,MUN,D,no,yes,,,240
Raphinha,LEE,M,no,yes,,14,23
Raul Jimenez,WOL,F,no,yes,25,156,228
Ravel Morrison,SHU,M,no,yes,515,,
Rayan Ait-Nouri,WOL,D,yes,yes,,146,45
Reda Khadra,BHA,M,no,yes,,511,
Reece James,CHE,D,no,yes,50,22,7
Reiss Nelson,ARS,F,no,yes,264,492,505
Rhian Brewster,SHU,F,no,yes,,416,
Rhys Williams,LIV,D,no,yes,,224,
Ricardo Pereira,LEI,D,no,yes,10,201,122
Richairo Zivkovic,SHU,F,no,yes,502,,
Richarlison,EVE,F,no,yes,72,99,118
Rico Henry,BRF,D,no,yes,,,227
Riyad Mahrez,MCI,F,no,yes,2,10,20
Rob Holding,ARS,D,no,yes,427,378,236
Robbie Brady,BUR,M,no,yes,313,243,
Robert Sanchez,BHA,G,no,yes,,246,326
Robert Snodgrass,WBA,M,no,yes,86,425,
Roberto Firmino,LIV,F,no,yes,35,44,145
Roberto Jimenez,WHU,G,no,yes,193,,
Roberto Pereyra,WAT,M,no,yes,233,,
Robin Koch,LEE,"D,M",no,yes,,267,398
Robin Olsen,AVL,G,no,yes,,422,481
Rodri,MCI,M,no,yes,53,43,32
Rodrigo,LEE,"M,F",no,yes,,113,182
Rodrigo Bentancur,TOT,M,no,yes,,,187
Romain Perraud,SOU,D,no,yes,,,315
Romain Saiss,WOL,D,no,yes,152,254,133
Romaine Sawyers,WBA,M,no,yes,,407,
Romelu Lukaku,CHE,F,no,yes,,,86
Ross Barkley,CHE,M,no,yes,92,96,361
Ruben Dias,MCI,D,no,yes,,53,33
Ruben Loftus-Cheek,CHE,M,yes,yes,360,361,100
Ruben Neves,WOL,M,no,yes,156,85,101
Ruben Vinagre,WOL,D,no,yes,248,366,
Rui Patricio,WOL,G,no,yes,177,222,
Runar Alex Runarsson,ARS,G,no,yes,,475,
Ryan Bennett,LEI,D,no,yes,410,,
Ryan Bertrand,LEI,D,no,yes,296,403,449
Ryan Fraser,NEW,M,no,yes,192,263,256
Ryan Fredericks,WHU,D,no,yes,222,313,454
Sadio Mane,LIV,F,no,yes,3,6,14
Said Benrahma,WHU,"M,F",no,yes,,117,48
Salomon Rondon,EVE,F,no,yes,,,366
Sam Byram,NOR,D,no,yes,399,,253
Sam Field,WBA,M,no,yes,,479,
Sam Greenwood,LEE,F,no,yes,,,391
Sam Johnstone,WBA,G,no,yes,,237,
Sam Surridge,BOU,F,no,yes,481,,
Saman Ghoddos,BRF,"M,F",no,yes,,,378
Samir,WAT,D,no,yes,,,363
Samuel Kalu,WAT,F,no,yes,,,390
Sander Berge,SHU,M,no,yes,205,293,
Saul Niguez,CHE,M,no,yes,,,336
Scott Carson,MCI,G,no,yes,,462,
Scott Dann,CRY,D,no,yes,259,408,
Scott McTominay,MUN,M,yes,yes,79,68,88
Sead Kolasinac,ARS,D,no,yes,242,389,477
Seamus Coleman,EVE,D,no,yes,131,79,258
Sean Longstaff,NEW,M,no,yes,305,409,341
Sebastian Prodl,WAT,D,no,yes,466,,
Sebastien Haller,WHU,F,no,yes,102,182,
Semi Ajayi,WBA,D,no,yes,,395,
Serge Aurier,TOT,D,no,yes,20,11,
Sergi Canos,BRF,"M,F",no,yes,,,274
Sergio Aguero,MCI,F,no,yes,18,233,
Sergio Reguilon,TOT,D,no,yes,,61,35
Shandon Baptiste,BRF,M,no,yes,,,269
Shane Duffy,BHA,D,no,yes,316,,151
Shane Long,SOU,F,no,yes,126,464,352
Shkodran Mustafi,ARS,D,no,yes,271,498,
Shola Shoretire,MUN,F,no,yes,,489,525
Sidnei Tavares,LEI,M,no,yes,,459,
Simon Francis,BOU,D,no,yes,388,,
Simon Moore,SHU,G,no,yes,447,,
Sofiane Boufal,SOU,M,no,yes,195,,
Sokratis,ARS,D,no,yes,287,,
Solly March,BHA,M,no,yes,275,57,109
Son Heung-Min,TOT,"M,F",yes,yes,11,20,5
Sonny Perkins,WHU,M,no,yes,,,509
Steve Cook,BOU,D,no,yes,315,,
Steven Alzate,BHA,M,no,yes,284,379,302
Steven Bergwijn,TOT,F,no,yes,246,260,317
Stuart Armstrong,SOU,M,no,yes,82,92,161
Stuart Dallas,LEE,"D,M",no,yes,,198,157
Stuart McKinstry,LEE,M,yes,yes,,,508
Tahith Chong,MUN,M,no,yes,500,,
Takehiro Tomiyasu,ARS,D,no,yes,,,54
Takumi Minamino,LIV,F,no,yes,364,275,351
Tammy Abraham,CHE,F,no,yes,43,112,
Tanguy Ndombele,TOT,M,no,yes,134,98,278
Tariq Lamptey,BHA,D,no,yes,345,172,108
Tariqe Fosu-Henry,BRF,M,yes,yes,,,494
Taylor Richards,BHA,"M,F",no,yes,,,506
Teemu Pukki,NOR,F,no,yes,186,,346
Terence Kongolo,FUL,D,no,yes,,466,
Thakgalo Leshabela,LEI,M,no,yes,,502,
Theo Corbeanu,WOL,F,no,yes,,473,
Theo Walcott,SOU,M,no,yes,172,193,405
Thiago,LIV,M,no,yes,,35,37
Thiago Silva,CHE,D,no,yes,,67,25
Thomas Partey,ARS,M,no,yes,,181,89
Tim Iroegbunam,AVL,M,no,yes,,,386
Tim Krul,NOR,G,no,yes,201,,333
Tim Ream,FUL,D,no,yes,,424,
Timm Klose,NOR,D,no,yes,419,,
Timo Werner,CHE,F,no,yes,,37,202
Timothy Castagne,LEI,D,no,yes,,63,231
Timothy Fosu-Mensah,MUN,D,yes,yes,387,375,
Toby Alderweireld,TOT,D,no,yes,310,165,
Todd Cantwell,NOR,M,no,yes,191,,436
Tom Cairney,FUL,M,no,yes,,317,
Tom Cleverley,WAT,M,no,yes,350,,356
Tom Davies,EVE,M,no,yes,341,163,359
Tom Heaton,AVL,G,no,yes,219,,
Tom Trybull,NOR,M,no,yes,402,,
Tomas Soucek,WHU,M,no,yes,164,80,143
Tommy Doyle,MCI,M,no,yes,485,,
Tony Springett,NOR,M,no,yes,,,476
Tosin Adarabioyo,FUL,D,no,yes,,259,
Toti,WOL,D,no,yes,,,442
Trent Alexander-Arnold,LIV,D,yes,yes,4,9,2
Trevoh Chalobah,CHE,"D,M",no,yes,,,30
Trezeguet,AVL,"M,F",no,yes,149,148,502
Trincao,WOL,F,no,yes,,,119
Troy Deeney,WAT,F,no,yes,115,,500
Troy Parrott,TOT,F,no,yes,497,,
Tyler Morton,LIV,M,no,yes,,,402
Tyler Onyango,EVE,M,no,yes,,,522
Tyler Roberts,LEE,"M,F",no,yes,,257,260
Tyrese Francois,FUL,M,no,yes,,516,
Tyrick Mitchell,CRY,D,no,yes,439,392,238
Tyrone Mings,AVL,D,no,yes,369,131,174
Valentino Lazaro,NEW,M,no,yes,365,,
Valentino Livramento,SOU,D,no,yes,,,105
Vicente Guaita,CRY,G,no,yes,108,282,276
Victor Camarasa,CRY,M,no,yes,503,,
Victor Lindelof,MUN,D,no,yes,227,177,221
Victor Wanyama,TOT,M,no,yes,490,,
Virgil van Dijk,LIV,D,yes,yes,46,274,15
Vitalii Mykolenko,EVE,D,no,yes,,,234
Vitaly Janelt,BRF,M,no,yes,,,230
Vitinha,WOL,M,no,yes,,308,
Vladimir Coufal,WHU,D,no,yes,,89,104
Wayne Hennessey,BUR,G,no,yes,435,,456
Wes Morgan,LEI,D,no,yes,298,509,
Wesley,AVL,F,no,yes,385,481,496
Wesley Fofana,LEI,D,no,yes,,72,358
Wilfred Ndidi,LEI,M,no,yes,40,21,164
Wilfried Zaha,CRY,F,no,yes,139,199,120
Will Hughes,CRY,M,no,yes,307,,289
Will Norris,BUR,G,no,yes,,451,
William Fish,MUN,D,no,yes,,503,
William Smallbone,SOU,M,no,yes,376,446,409
William Troost-Ekong,WAT,D,yes,yes,,,423
Willian,ARS,F,no,yes,7,136,
Willian Jose,WOL,F,no,yes,,323,
Willy Boly,WOL,D,no,yes,41,166,335
Willy Caballero,SOU,G,no,yes,327,398,462
Wout Weghorst,BUR,F,no,yes,,,332
Xherdan Shaqiri,LIV,"M,F",no,yes,334,270,
Yan Valery,SOU,D,no,yes,358,457,381
Yerry Mina,EVE,D,no,yes,210,173,384
Yoane Wissa,BRF,M,no,yes,,,232
Yoshinori Muto,NEW,F,no,yes,442,,
Youri Tielemans,LEI,M,no,yes,74,51,70
Yves Bissouma,BHA,M,no,yes,136,135,126
Zack Steffen,MCI,G,no,yes,,471,465
Zanka,BRF,D,no,yes,,,433
