player,club,pos,double_barrel,picture,19-20 Power Rk,20-21 Power Rk,21-22 Power Rk
Ben Gibson,NOR,D,no,yes,,,419
Ben Godfrey,EVE,D,no,yes,392,196,334
Ben Johnson,WHU,D,no,yes,437,311,183
Ben Mee,BUR,D,no,yes,261,178,248
Ben Osborn,SHU,M,no,yes,420,338,
Ben White,ARS,D,no,yes,,271,94
Benjamin Mendy,MCI,D,no,yes,44,116,383
Bernard,EVE,"M,F",no,yes,106,288,
Bernardo,BHA,D,no,yes,289,448,
Bernardo Silva,MCI,M,no,yes,12,59,19
Bernd Leno,ARS,G,no,yes,60,234,444
Bertrand Traore,AVL,"M,F",no,yes,,71,400
Billy Gilmour,NOR,M,no,yes,340,346,321
Billy Sharp,SHU,F,no,yes,368,343,
Bjorn Engels,AVL,D,no,yes,400,,
Bobby De Cordova-Reid,FUL,"M,F",yes,yes,,316,
Borja Baston,AVL,F,no,yes,505,,
Boubakary Soumare,LEI,M,no,yes,,,295
Brandon Pierrick,CRY,F,no,yes,489,,
Brandon Williams,NOR,D,no,yes,159,384,372
Branislav Ivanovic,WBA,D,no,yes,,421,
Bruno Fernandes,MUN,M,no,yes,21,3,38
Bruno Guimaraes,NEW,M,no,yes,,,82
Bruno Jordao,WOL,M,no,yes,476,,
Bryan Gil,TOT,M,no,yes,,,504
Bryan Mbeumo,BRF,F,no,yes,,,296
Bukayo Saka,ARS,M,no,yes,217,104,21
Caglar Soyuncu,LEI,D,no,yes,122,109,324
Caleb Watts,SOU,M,no,yes,,507,
Callum Hudson-Odoi,CHE,"M,F",yes,yes,144,170,177
Callum Robinson,WBA,F,no,yes,412,272,
Callum Wilson,NEW,F,no,yes,199,207,214
Calum Chambers,AVL,D,no,yes,257,227,263
Cameron Archer,AVL,F,no,yes,,,529
Caoimhin Kelleher,LIV,G,no,yes,,324,330
Carlos Sanchez,WHU,M,no,yes,459,,
Carlos Vinicius,TOT,F,no,yes,,390,
Carney Chukwuemeka,AVL,M,no,yes,,483,393
Cedric Soares,ARS,D,no,yes,245,242,188
Cengiz Under,LEI,M,no,yes,,373,
Cenk Tosun,EVE,F,no,yes,375,514,511
Cesar Azpilicueta,CHE,D,no,yes,30,24,71
Charlie Austin,WBA,F,no,yes,,499,
Charlie Cresswell,LEE,D,no,yes,,,401
Charlie Daniels,BOU,D,no,yes,449,,
Charlie Goode,BRF,D,no,yes,,,440
Charlie Taylor,BUR,D,no,yes,100,189,195
Che Adams,SOU,F,no,yes,234,130,95
Cheikhou Kouyate,CRY,"D,M",no,yes,304,400,185
Chem Campbell,WOL,F,no,yes,,,510
Chicharito,WHU,F,no,yes,454,,
Chiquinho,WOL,F,no,yes,,,377
Chris Basham,SHU,D,no,yes,163,284,
Chris Mepham,BOU,D,no,yes,409,,
Chris Wood,NEW,F,no,yes,211,215,417
Christian Atsu,NEW,M,no,yes,302,,
Christian Benteke,CRY,F,no,yes,280,39,181
Christian Eriksen,BRF,M,no,yes,155,,135
Christian Fuchs,LEI,D,no,yes,220,225,
Christian Kabasele,WAT,D,no,yes,180,,426
Christian Norgaard,BRF,M,no,yes,,,107
Christian Pulisic,CHE,"M,F",no,yes,24,47,165
Christoph Zimmerman,NOR,D,no,yes,398,,458
Christos Tzolis,NOR,M,no,yes,,,451
Ciaran Clark,NEW,D,no,yes,308,354,427
CJ Egan-Riley,MCI,D,yes,yes,,,488
Claudio Bravo,MCI,G,no,yes,339,,
Cody Drameh,LEE,D,no,yes,,,480
Cole Palmer,MCI,M,no,yes,,,365
Connor Roberts,BUR,D,no,yes,,,210
Connor Wickham,CRY,F,no,yes,474,,
Conor Coady,WOL,D,no,yes,279,341,364
Conor Gallagher,CRY,M,no,yes,,342,90
Conor Hourihane,AVL,M,no,yes,91,286,
Conor Townsend,WBA,D,no,yes,,302,
Craig Cathcart,WAT,D,no,yes,393,,406
Craig Dawson,WHU,D,no,yes,221,137,244
Cristian Romero,TOT,D,no,yes,,,116
Cristiano Ronaldo,MUN,F,no,yes,,,69
Crysencio Summerville,LEE,M,no,yes,,,503
Cucho Hernandez,WAT,F,no,yes,,,155
Curtis Jones,LIV,M,no,yes,366,159,150
Dale Stephens,BUR,M,no,yes,285,434,479
Dan Burn,NEW,D,no,yes,331,212,255
Dan Gosling,WAT,M,no,yes,216,,455
Dane Scarlett,TOT,F,no,yes,,505,490
Dani Ceballos,ARS,M,no,yes,61,36,
Daniel Amartey,LEI,D,no,yes,,352,327
Daniel Bachmann,WAT,G,no,yes,,,414
Daniel Chesters,WHU,M,no,yes,,,517
Daniel James,LEE,"M,F",no,yes,148,235,310
Daniel Jebbison,SHU,F,no,yes,,394,
Daniel N'Lundulu,SOU,F,yes,yes,#N/A,#N/A,#N/A
Daniel Podence,WOL,"M,F",no,yes,268,105,99
Danny Drinkwater,AVL,M,no,yes,428,,
Danny Ings,AVL,F,no,yes,15,82,209
Danny Rose,WAT,D,no,yes,332,,431
Danny Ward,LEI,G,no,yes,,,473
Danny Welbeck,BHA,F,no,yes,416,180,152
Dara O'Shea,WBA,D,yes,yes,#N/A,#N/A,#N/A
Darnell Furlong,WBA,D,no,yes,,350,
Darren Randolph,WHU,G,no,yes,445,436,
