,player,position,position_id,date,team,opp,score,fpts,min,goals
12,Kristoffer Ajer,D,2,Jan 11,BRF,@SOU,L 1-4,5.2,90,0
13,Kristoffer Ajer,D,2,Oct 24,BRF,LEI,L 1-2,2.95,45,0
14,Kristoffer Ajer,D,2,Sep 25,BRF,LIV,T 3-3,7.4,90,0
15,Kristoffer Ajer,D,2,Sep 18,BRF,@WOL,W 2-0,16.85,90,0
16,Kristoffer Ajer,D,2,Sep 11,BRF,BHA,L 0-1,5.8,90,0
17,Kristoffer Ajer,D,2,Aug 28,BRF,@AVL,T 1-1,8.15,90,0
18,Kristoffer Ajer,D,2,Aug 21,BRF,@CRY,T 0-0,14.95,90,0
19,Kristoffer Ajer,D,2,Aug 13,BRF,ARS,W 2-0,13.7,70,0
0,Mads Bech Sorensen,D,2,Apr 23,BRF,TOT,T 0-0,11.95,90,0
1,Mads Bech Sorensen,D,2,Apr 16,BRF,@WAT,W 2-1,7.05,68,0
2,Mads Bech Sorensen,D,2,Jan 19,BRF,MUN,L 1-3,7.8,90,0
3,Mads Bech Sorensen,D,2,Jan 2,BRF,AVL,W 2-1,7.15,90,0
4,Mads Bech Sorensen,D,2,Dec 29,BRF,MCI,L 0-1,5.45,90,0
5,Mads Bech Sorensen,D,2,Dec 26,BRF,@BHA,L 0-2,3.65,90,0
6,Mads Bech Sorensen,D,2,Aug 13,BRF,ARS,W 2-0,1.0,18,0
0,Pontus Jansson,D,2,Apr 23,BRF,TOT,T 0-0,18.35,90,0
1,Pontus Jansson,D,2,Apr 16,BRF,@WAT,W 2-1,23.45,90,1
2,Pontus Jansson,D,2,Apr 2,BRF,@CHE,W 4-1,8.1,90,0
3,Pontus Jansson,D,2,Mar 20,BRF,@LEI,L 1-2,9.5,90,0
4,Pontus Jansson,D,2,Mar 12,BRF,BUR,W 2-0,15.9,90,0
5,Pontus Jansson,D,2,Mar 5,BRF,@NOR,W 3-1,10.55,90,0
6,Pontus Jansson,D,2,Feb 26,BRF,NEW,L 0-2,7.45,90,0
7,Pontus Jansson,D,2,Feb 19,BRF,@ARS,L 1-2,5.5,90,0
8,Pontus Jansson,D,2,Feb 12,BRF,CRY,T 0-0,17.55,90,0
9,Pontus Jansson,D,2,Feb 9,BRF,@MCI,L 0-2,6.5,90,0
10,Pontus Jansson,D,2,Jan 22,BRF,WOL,L 1-2,3.7,90,0
11,Pontus Jansson,D,2,Jan 19,BRF,MUN,L 1-3,6.4,90,0
12,Pontus Jansson,D,2,Jan 16,BRF,@LIV,L 0-3,5.85,90,0
13,Pontus Jansson,D,2,Jan 11,BRF,@SOU,L 1-4,5.55,90,0
14,Pontus Jansson,D,2,Jan 2,BRF,AVL,W 2-1,5.8,90,0
15,Pontus Jansson,D,2,Dec 29,BRF,MCI,L 0-1,8.9,90,0
16,Pontus Jansson,D,2,Dec 26,BRF,@BHA,L 0-2,11.65,90,0
17,Pontus Jansson,D,2,Dec 10,BRF,WAT,W 2-1,15.55,90,1
18,Pontus Jansson,D,2,Dec 5,BRF,@LEE,T 2-2,7.65,90,0
19,Pontus Jansson,D,2,Dec 2,BRF,@TOT,L 0-2,10.5,90,0
20,Pontus Jansson,D,2,Nov 28,BRF,EVE,W 1-0,11.9,90,0
21,Pontus Jansson,D,2,Nov 20,BRF,@NEW,T 3-3,5.05,90,0
22,Pontus Jansson,D,2,Nov 6,BRF,NOR,L 1-2,6.8,90,0
23,Pontus Jansson,D,2,Oct 30,BRF,@BUR,L 1-3,6.85,90,0
24,Pontus Jansson,D,2,Oct 24,BRF,LEI,L 1-2,7.85,90,0
25,Pontus Jansson,D,2,Oct 16,BRF,CHE,L 0-1,9.35,90,0
26,Pontus Jansson,D,2,Oct 3,BRF,@WHU,W 2-1,12.3,90,0
27,Pontus Jansson,D,2,Sep 25,BRF,LIV,T 3-3,13.5,90,0
28,Pontus Jansson,D,2,Sep 18,BRF,@WOL,W 2-0,12.65,81,0
29,Pontus Jansson,D,2,Sep 11,BRF,BHA,L 0-1,8.1,90,0
30,Pontus Jansson,D,2,Aug 28,BRF,@AVL,T 1-1,12.65,90,0
31,Pontus Jansson,D,2,Aug 21,BRF,@CRY,T 0-0,19.55,90,0
32,Pontus Jansson,D,2,Aug 13,BRF,ARS,W 2-0,13.6,90,0
0,Zanka,D,2,Apr 10,BRF,WHU,W 2-0,13.55,90,0
1,Zanka,D,2,Nov 6,BRF,NOR,L 1-2,2.0,11,0
2,Zanka,D,2,Oct 30,BRF,@BUR,L 1-3,5.45,90,0
3,Zanka,D,2,Oct 24,BRF,LEI,L 1-2,16.5,90,1
4,Zanka,D,2,Oct 16,BRF,CHE,L 0-1,8.95,90,0
5,Zanka,D,2,Oct 3,BRF,@WHU,W 2-1,5.1,90,0
6,Zanka,D,2,Sep 25,BRF,LIV,T 3-3,4.05,46,0
7,Zanka,D,2,Sep 18,BRF,@WOL,W 2-0,1.45,7,0
0,Charlie Goode,D,2,Dec 10,BRF,WAT,W 2-1,9.0,90,0
1,Charlie Goode,D,2,Dec 5,BRF,@LEE,T 2-2,5.95,90,0
2,Charlie Goode,D,2,Dec 2,BRF,@TOT,L 0-2,8.05,90,0
3,Charlie Goode,D,2,Nov 28,BRF,EVE,W 1-0,17.25,90,0
4,Charlie Goode,D,2,Nov 20,BRF,@NEW,T 3-3,1.2,9,0
5,Charlie Goode,D,2,Nov 6,BRF,NOR,L 1-2,8.1,77,0
0,Ethan Pinnock,D,2,Apr 16,BRF,@WAT,W 2-1,2.5,20,0
1,Ethan Pinnock,D,2,Apr 10,BRF,WHU,W 2-0,16.95,90,0
2,Ethan Pinnock,D,2,Apr 2,BRF,@CHE,W 4-1,7.55,90,0
3,Ethan Pinnock,D,2,Mar 20,BRF,@LEI,L 1-2,2.1,90,0
4,Ethan Pinnock,D,2,Mar 12,BRF,BUR,W 2-0,18.7,90,0
5,Ethan Pinnock,D,2,Mar 5,BRF,@NOR,W 3-1,9.6,90,0
6,Ethan Pinnock,D,2,Feb 26,BRF,NEW,L 0-2,6.85,90,0
7,Ethan Pinnock,D,2,Feb 19,BRF,@ARS,L 1-2,9.1,90,0
8,Ethan Pinnock,D,2,Feb 12,BRF,CRY,T 0-0,19.2,90,0
9,Ethan Pinnock,D,2,Feb 9,BRF,@MCI,L 0-2,7.75,90,0
10,Ethan Pinnock,D,2,Jan 22,BRF,WOL,L 1-2,9.9,90,0
11,Ethan Pinnock,D,2,Jan 19,BRF,MUN,L 1-3,11.4,90,0
12,Ethan Pinnock,D,2,Jan 16,BRF,@LIV,L 0-3,7.6,90,0
13,Ethan Pinnock,D,2,Jan 11,BRF,@SOU,L 1-4,7.05,67,0
14,Ethan Pinnock,D,2,Jan 2,BRF,AVL,W 2-1,9.8,90,0
15,Ethan Pinnock,D,2,Dec 29,BRF,MCI,L 0-1,8.1,90,0
16,Ethan Pinnock,D,2,Dec 26,BRF,@BHA,L 0-2,13.5,90,0
17,Ethan Pinnock,D,2,Dec 5,BRF,@LEE,T 2-2,6.2,90,0
18,Ethan Pinnock,D,2,Dec 2,BRF,@TOT,L 0-2,5.95,90,0
19,Ethan Pinnock,D,2,Nov 28,BRF,EVE,W 1-0,15.65,90,0
20,Ethan Pinnock,D,2,Nov 20,BRF,@NEW,T 3-3,11.45,90,0
21,Ethan Pinnock,D,2,Nov 6,BRF,NOR,L 1-2,14.1,90,0
22,Ethan Pinnock,D,2,Oct 30,BRF,@BUR,L 1-3,11.55,90,0
23,Ethan Pinnock,D,2,Oct 24,BRF,LEI,L 1-2,5.75,45,0
24,Ethan Pinnock,D,2,Oct 16,BRF,CHE,L 0-1,12.8,90,0
25,Ethan Pinnock,D,2,Oct 3,BRF,@WHU,W 2-1,10.45,90,0
26,Ethan Pinnock,D,2,Sep 25,BRF,LIV,T 3-3,15.0,42,1
27,Ethan Pinnock,D,2,Sep 18,BRF,@WOL,W 2-0,14.35,90,0
28,Ethan Pinnock,D,2,Sep 11,BRF,BHA,L 0-1,11.2,90,0
