GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE
9,FUL,EVE,31,43,FULEVE
9,SHU,WHU,35,38,SHUWHU
9,LEE,ARS,28,47,LEEARS
9,LIV,LEI,58,20,LIVLEI
9,BUR,CRY,43,28,BURCRY
9,WOL,SOU,42,30,WOLSOU
10,CRY,NEW,4,28,CRYNEW
10,BHA,LIV,18,61,BHALIV
10,MCI,BUR,84,4,MCIBUR
10,EVE,LEE,51,25,EVELEE
10,WBA,SHU,34,35,WBASHU
10,SOU,MUN,28,48,SOUMUN
10,CHE,TOT,48,29,CHETOT
10,ARS,WOL,49,23,ARSWOL
10,LEI,FUL,64,15,LEIFUL
10,WHU,AVL,45,30,WHUAVL
11,BUR,EVE,36,37,BUREVE
11,MCI,FUL,88,3,MCIFUL
11,WHU,MUN,28,48,WHUMUN
11,CHE,LEE,71,11,CHELEE
11,WBA,CRY,34,38,WBACRY
11,SHU,LEI,29,45,SHULEI
11,TOT,ARS,53,23,TOTARS
11,LIV,WOL,63,15,LIVWOL
11,BHA,SOU,42,31,BHASOU
12,LEE,WHU,36,39,LEEWHU
12,WOL,AVL,42,31,WOLAVL
12,NEW,WBA,52,21,NEWWBA
12,MUN,MCI,25,52,MUNMCI
12,EVE,CHE,22,56,EVECHE
12,SOU,SHU,51,23,SOUSHU
12,CRY,TOT,21,56,CRYTOT
12,FUL,LIV,15,66,FULLIV
12,ARS,BUR,57,18,ARSBUR
12,LEI,BHA,51,24,LEIBHA
13,WOL,CHE,22,52,WOLCHE
13,MCI,WBA,93,1,MCIWBA
13,ARS,SOU,47,28,ARSSOU
13,LEI,EVE,51,24,LEIEVE
13,LEE,NEW,47,27,LEENEW
13,LIV,TOT,51,26,LIVTOT
13,FUL,BHA,36,37,FULBHA
13,WHU,CRY,51,24,WHUCRY
13,AVL,BUR,54,21,AVLBUR
13,SHU,MUN,18,59,SHUMUN
14,CRY,LIV,18,61,CRYLIV
14,SOU,MCI,14,66,SOUMCI
14,EVE,ARS,40,34,EVEARS
14,NEW,FUL,40,32,NEWFUL
14,BHA,SHU,50,22,BHASHU
14,TOT,LEI,52,24,TOTLEI
14,MUN,LEE,66,15,MUNLEE
14,WBA,AVL,23,53,WBAAVL
14,BUR,WOL,34,35,BURWOL
14,CHE,WHU,64,15,CHEWHU
15,LEI,MUN,34,42,LEIMUN
15,AVL,CRY,56,20,AVLCRY
15,FUL,SOU,33,40,FULSOU
15,ARS,CHE,26,49,ARSCHE
15,MCI,NEW,89,2,MCINEW
15,SHU,EVE,29,45,SHUEVE
15,LEE,BUR,46,29,LEEBUR
15,WHU,BHA,43,30,WHUBHA
15,LIV,WBA,89,2,LIVWBA
15,WOL,TOT,28,44,WOLTOT
16,CRY,LEI,26,49,CRYLEI
16,CHE,AVL,57,21,CHEAVL
16,BUR,SHU,47,25,BURSHU
16,SOU,WHU,45,29,SOUWHU
16,WBA,LEE,30,45,WBALEE
16,BHA,ARS,35,38,BHAARS
16,MUN,WOL,62,16,MUNWOL
16,NEW,LIV,13,69,NEWLIV
17,EVE,WHU,46,28,EVEWHU
17,MUN,AVL,54,24,MUNAVL
17,TOT,LEE,62,18,TOTLEE
17,CRY,SHU,46,26,CRYSHU
17,BHA,WOL,42,28,BHAWOL
17,WBA,ARS,17,59,WBAARS
17,NEW,LEI,23,51,NEWLEI
17,CHE,MCI,27,48,CHEMCI
17,SOU,LIV,22,54,SOULIV
18,SHU,NEW,39,31,SHUNEW
18,BUR,MUN,19,58,BURMUN
18,WOL,EVE,38,34,WOLEVE
18,MCI,BHA,85,3,MCIBHA
18,TOT,FUL,64,14,TOTFUL
18,ARS,CRY,61,16,ARSCRY
19,WOL,WBA,64,13,WOLWBA
19,WHU,BUR,52,21,WHUBUR
19,LEE,BHA,38,37,LEEBHA
19,FUL,CHE,19,58,FULCHE
19,LEI,SOU,52,22,LEISOU
19,SHU,TOT,19,57,SHUTOT
19,LIV,MUN,49,28,LIVMUN
19,MCI,CRY,90,1,MCICRY
19,ARS,NEW,61,15,ARSNEW
19,WHU,WBA,66,13,WHUWBA
19,LEI,CHE,33,41,LEICHE
19,MCI,AVL,78,7,MCIAVL
19,FUL,MUN,19,59,FULMUN
19,LIV,BUR,79,6,LIVBUR
19,AVL,NEW,63,15,AVLNEW
20,NEW,LEE,35,39,NEWLEE
20,CRY,WHU,31,41,CRYWHU
20,SOU,ARS,32,40,SOUARS
20,WBA,MCI,3,88,WBAMCI
20,CHE,WOL,66,13,CHEWOL
20,BUR,AVL,26,47,BURAVL
20,BHA,FUL,49,24,BHAFUL
20,EVE,LEI,32,41,EVELEI
20,MUN,SHU,75,8,MUNSHU
20,TOT,LIV,33,42,TOTLIV
21,EVE,NEW,57,18,EVENEW
21,MCI,SHU,90,2,MCISHU
21,CRY,WOL,36,35,CRYWOL
21,WBA,FUL,28,44,WBAFUL
21,ARS,MUN,36,38,ARSMUN
21,SOU,AVL,33,41,SOUAVL
21,CHE,BUR,69,10,CHEBUR
21,LEI,LEE,64,16,LEILEE
21,WHU,LIV,24,53,WHULIV
21,BHA,TOT,31,43,BHATOT
22,WOL,ARS,29,43,WOLARS
22,SHU,WBA,54,20,SHUWBA
22,MUN,SOU,63,15,MUNSOU
22,NEW,CRY,40,31,NEWCRY
22,FUL,LEI,23,50,FULLEI
22,BUR,MCI,6,78,BURMCI
22,LEE,EVE,40,36,LEEEVE
22,AVL,WHU,47,28,AVLWHU
22,LIV,BHA,67,13,LIVBHA
22,TOT,CHE,33,42,TOTCHE
23,AVL,ARS,39,35,AVLARS
23,NEW,SOU,38,34,NEWSOU
23,BUR,BHA,30,40,BURBHA
23,FUL,WHU,29,44,FULWHU
23,MUN,EVE,65,14,MUNEVE
23,TOT,WBA,73,9,TOTWBA
23,WOL,LEI,27,46,WOLLEI
23,LIV,MCI,28,47,LIVMCI
23,SHU,CHE,15,62,SHUCHE
23,LEE,CRY,48,28,LEECRY
24,LEI,LIV,30,45,LEILIV
24,CRY,BUR,38,32,CRYBUR
24,MCI,TOT,77,7,MCITOT
24,BHA,AVL,38,36,BHAAVL
24,SOU,WOL,39,32,SOUWOL
24,WBA,MUN,8,77,WBAMUN
24,ARS,LEE,55,22,ARSLEE
24,EVE,FUL,50,23,EVEFUL
24,WHU,SHU,57,18,WHUSHU
24,CHE,NEW,76,7,CHENEW
24,BUR,FUL,39,31,BURFUL
24,EVE,MCI,11,71,EVEMCI
25,WOL,LEE,45,30,WOLLEE
25,SOU,CHE,17,60,SOUCHE
25,BUR,WBA,57,17,BURWBA
25,LIV,EVE,73,10,LIVEVE
25,FUL,SHU,49,22,FULSHU
25,WHU,TOT,41,33,WHUTOT
25,AVL,LEI,34,39,AVLLEI
25,ARS,MCI,18,58,ARSMCI
25,MUN,NEW,80,6,MUNNEW
25,BHA,CRY,56,19,BHACRY
25,LEE,SOU,46,30,LEESOU
26,MCI,WHU,77,7,MCIWHU
26,WBA,BHA,21,54,WBABHA
26,LEE,AVL,38,37,LEEAVL
26,NEW,WOL,36,34,NEWWOL
26,CRY,FUL,32,40,CRYFUL
26,LEI,ARS,45,28,LEIARS
26,TOT,BUR,56,19,TOTBUR
26,CHE,MUN,47,28,CHEMUN
26,SHU,LIV,11,70,SHULIV
26,EVE,SOU,49,25,EVESOU
26,MCI,WOL,84,3,MCIWOL
26,BUR,LEI,25,46,BURLEI
26,SHU,AVL,26,46,SHUAVL
26,CRY,MUN,13,68,CRYMUN
26,FUL,TOT,31,42,FULTOT
26,WBA,EVE,23,51,WBAEVE
26,LIV,CHE,45,29,LIVCHE
27,BUR,ARS,25,48,BURARS
27,SHU,SOU,35,35,SHUSOU
27,AVL,WOL,49,24,AVLWOL
27,BHA,LEI,36,35,BHALEI
27,WBA,NEW,32,40,WBANEW
27,LIV,FUL,71,10,LIVFUL
27,MCI,MUN,58,18,MCIMUN
27,TOT,CRY,68,12,TOTCRY
27,CHE,EVE,66,12,CHEEVE
27,WHU,LEE,55,22,WHULEE
27,MCI,SOU,85,3,MCISOU
28,NEW,AVL,33,40,NEWAVL
28,LEE,CHE,17,61,LEECHE
28,CRY,WBA,47,25,CRYWBA
28,EVE,BUR,48,24,EVEBUR
28,FUL,MCI,14,64,FULMCI
28,SOU,BHA,33,40,SOUBHA
28,LEI,SHU,68,10,LEISHU
28,ARS,TOT,41,33,ARSTOT
28,MUN,WHU,53,23,MUNWHU
28,WOL,LIV,18,58,WOLLIV
29,FUL,LEE,45,28,FULLEE
29,BHA,NEW,54,20,BHANEW
29,WHU,ARS,39,34,WHUARS
29,AVL,TOT,32,42,AVLTOT
30,CHE,WBA,87,2,CHEWBA
30,LEE,SHU,56,20,LEESHU
30,LEI,MCI,22,54,LEIMCI
30,ARS,LIV,29,46,ARSLIV
30,SOU,BUR,45,27,SOUBUR
30,NEW,TOT,21,54,NEWTOT
30,AVL,FUL,40,31,AVLFUL
30,MUN,BHA,60,16,MUNBHA
30,EVE,CRY,55,19,EVECRY
30,WOL,WHU,40,43,WOLWHU
31,FUL,WOL,43,27,FULWOL
31,MCI,LEE,74,9,MCILEE
31,LIV,AVL,72,10,LIVAVL
31,CRY,CHE,10,70,CRYCHE
31,BUR,NEW,41,31,BURNEW
31,WHU,LEI,40,33,WHULEI
31,TOT,MUN,33,42,TOTMUN
31,SHU,ARS,19,57,SHUARS
31,WBA,SOU,32,42,WBASOU
31,BHA,EVE,49,25,BHAEVE
32,EVE,TOT,32,42,EVETOT
32,NEW,WHU,24,51,NEWWHU
32,WOL,SHU,48,23,WOLSHU
32,ARS,FUL,56,19,ARSFUL
32,MUN,BUR,70,11,MUNBUR
32,LEE,LIV,16,65,LEELIV
32,CHE,BHA,64,12,CHEBHA
32,TOT,SOU,56,21,TOTSOU
32,AVL,MCI,13,67,AVLMCI
32,LEI,WBA,69,11,LEIWBA
33,ARS,EVE,56,20,ARSEVE
33,LIV,NEW,80,6,LIVNEW
33,WHU,CHE,29,45,WHUCHE
33,SHU,BHA,20,52,SHUBHA
33,WOL,BUR,47,25,WOLBUR
33,LEE,MUN,26,50,LEEMUN
33,AVL,WBA,57,19,AVLWBA
33,LEI,CRY,74,8,LEICRY
34,SOU,LEI,25,49,SOULEI
34,CRY,MCI,6,80,CRYMCI
34,BHA,LEE,49,25,BHALEE
34,CHE,FUL,72,7,CHEFUL
34,EVE,AVL,42,31,EVEAVL
34,NEW,ARS,23,52,NEWARS
34,TOT,SHU,69,11,TOTSHU
34,WBA,WOL,34,38,WBAWOL
34,BUR,WHU,32,43,BURWHU
35,LEI,NEW,70,10,LEINEW
35,LEE,TOT,31,45,LEETOT
35,SHU,CRY,37,34,SHUCRY
35,MCI,CHE,47,25,MCICHE
35,LIV,SOU,78,7,LIVSOU
35,WOL,BHA,32,38,WOLBHA
35,AVL,MUN,26,50,AVLMUN
35,WHU,EVE,55,22,WHUEVE
35,ARS,WBA,57,19,ARSWBA
35,FUL,BUR,42,29,FULBUR
35,MUN,LEI,49,26,MUNLEI
35,SOU,CRY,43,30,SOUCRY
35,CHE,ARS,58,16,CHEARS
35,AVL,EVE,43,30,AVLEVE
35,MUN,LIV,33,42,MUNLIV
36,NEW,MCI,22,56,NEWMCI
36,BUR,LEE,38,37,BURLEE
36,SOU,FUL,39,33,SOUFUL
36,BHA,WHU,45,28,BHAWHU
36,CRY,AVL,33,40,CRYAVL
36,TOT,WOL,48,26,TOTWOL
36,WBA,LIV,9,75,WBALIV
36,EVE,SHU,50,23,EVESHU
37,MUN,FUL,53,23,MUNFUL
37,SOU,LEE,37,39,SOULEE
37,BHA,MCI,27,47,BHAMCI
37,CHE,LEI,57,18,CHELEI
37,EVE,WOL,41,31,EVEWOL
37,TOT,AVL,44,31,TOTAVL
37,NEW,SHU,47,27,NEWSHU
37,CRY,ARS,28,45,CRYARS
37,BUR,LIV,13,69,BURLIV
37,WBA,WHU,33,43,WBAWHU
38,AVL,CHE,15,63,AVLCHE
38,LIV,CRY,84,4,LIVCRY
38,FUL,NEW,39,34,FULNEW
38,MCI,EVE,55,21,MCIEVE
38,WHU,SOU,46,30,WHUSOU
38,ARS,BHA,41,31,ARSBHA
38,LEI,TOT,54,22,LEITOT
38,WOL,MUN,29,45,WOLMUN
38,LEE,WBA,49,28,LEEWBA
38,SHU,BUR,32,40,SHUBUR
