player,club,pos,double_barrel,picture
Che Adams,SOU,F,no,yes
Cheikhou Kouyate,CRY,"D,M",no,yes
Chem Campbell,WOL,F,no,yes
Chicharito,WHU,F,no,yes
Chiquinho,WOL,F,no,yes
Chris Basham,SHU,D,no,yes
Chris Mepham,BOU,D,no,yes
Chris Wood,NEW,F,no,yes
Christian Atsu,NEW,M,no,yes
Christian Benteke,CRY,F,no,yes
Christian Eriksen,BRF,M,no,yes
Christian Fuchs,LEI,D,no,yes
Christian Kabasele,WAT,D,no,yes
Christian Norgaard,BRF,M,no,yes
Christian Pulisic,CHE,"M,F",no,yes
Christoph Zimmerman,NOR,D,no,yes
Christos Tzolis,NOR,M,no,yes
Ciaran Clark,NEW,D,no,yes
CJ Egan-Riley,MCI,D,yes,yes
Claudio Bravo,MCI,G,no,yes
Cody Drameh,LEE,D,no,yes
Cole Palmer,MCI,M,no,yes
Connor Roberts,BUR,D,no,yes
Connor Wickham,CRY,F,no,yes
Conor Coady,WOL,D,no,yes
Conor Gallagher,CRY,M,no,yes
Conor Hourihane,AVL,M,no,yes
Conor Townsend,WBA,D,no,yes
Craig Cathcart,WAT,D,no,yes
Craig Dawson,WHU,D,no,yes
Cristian Romero,TOT,D,no,yes
Cristiano Ronaldo,MUN,F,no,yes
Crysencio Summerville,LEE,M,no,yes
Cucho Hernandez,WAT,F,no,yes
Curtis Jones,LIV,M,no,yes
Dale Stephens,BUR,M,no,yes
Dan Burn,NEW,D,no,yes
Dan Gosling,WAT,M,no,yes
Dane Scarlett,TOT,F,no,yes
Dani Ceballos,ARS,M,no,yes
Daniel Amartey,LEI,D,no,yes
Daniel Bachmann,WAT,G,no,yes
Daniel Chesters,WHU,M,no,yes
Daniel James,LEE,"M,F",no,yes
Daniel Jebbison,SHU,F,no,yes
Daniel N'Lundulu,SOU,F,yes,yes
Daniel Podence,WOL,"M,F",no,yes
Danny Drinkwater,AVL,M,no,yes
Danny Ings,AVL,F,no,yes
Danny Rose,WAT,D,no,yes
Danny Ward,LEI,G,no,yes
Danny Welbeck,BHA,F,no,yes
Dara O'Shea,WBA,D,yes,yes
Darnell Furlong,WBA,D,no,yes
Darren Randolph,WHU,G,no,yes
Daryl Janmaat,WAT,D,no,yes
David Brooks,BOU,M,no,yes
David Button,WBA,G,no,yes
David de Gea,MUN,G,yes,yes
David Luiz,ARS,D,no,yes
David Martin,WHU,G,no,yes
David McGoldrick,SHU,F,yes,yes
David Raya Martin,BRF,G,no,yes
David Silva,MCI,M,no,yes
Davinson Sanchez,TOT,D,no,yes
Davy Propper,BHA,M,no,yes
Dean Henderson,MUN,G,no,yes
DeAndre Yedlin,NEW,D,yes,yes
Declan Rice,WHU,M,no,yes
Dejan Kulusevski,TOT,"M,F",no,yes
Dejan Lovren,LIV,D,no,yes
Dele Alli,EVE,M,no,yes
Demarai Gray,EVE,"M,F",no,yes
Denis Odoi,FUL,D,no,yes
Dennis Praet,LEI,M,no,yes
Dennis Srbeny,NOR,F,no,yes
Diego Llorente,LEE,D,no,yes
Diego Rico,BOU,D,no,yes
Dimitri Foulquier,WAT,D,no,yes
Dimitris Giannoulis,NOR,D,no,yes
Diogo Dalot,MUN,D,no,yes
Diogo Jota,LIV,F,no,yes
Divock Origi,LIV,F,no,yes
Djibril Sidibe,EVE,D,no,yes
Domingos Quina,WAT,M,no,yes
Dominic Calvert-Lewin,EVE,F,yes,yes
Dominic Solanke,BOU,F,no,yes
Dominic Thompson,BRF,D,no,yes
Donny van de Beek,EVE,M,yes,yes
Douglas Luiz,AVL,M,no,yes
Dwight Gayle,NEW,F,no,yes
Dwight McNeil,BUR,M,no,yes
Eberechi Eze,CRY,M,no,yes
Eddie Nketiah,ARS,F,no,yes
Ederson,MCI,G,no,yes
Edinson Cavani,MUN,F,no,yes
Edo Kayembe,WAT,M,no,yes
Edouard Mendy,CHE,G,no,yes
Elliot Anderson,NEW,M,no,yes
Ellis Simms,EVE,F,no,yes
Emerson,CHE,D,no,yes
Emerson Royal,TOT,D,no,yes
Emil Krafth,NEW,D,no,yes
Emile Smith Rowe,ARS,M,no,yes
Emiliano Buendia,AVL,"M,F",no,yes
Emiliano Martinez,AVL,G,no,yes
Emmanuel Dennis,WAT,"M,F",no,yes
Enda Stevens,SHU,D,no,yes
Enock Mwepu,BHA,M,no,yes
Eric Bailly,MUN,D,no,yes
Eric Dier,TOT,D,no,yes
