player,club,pos,double_barrel,picture
Rhian Brewster,SHU,F,no,yes
Rhys Williams,LIV,D,no,yes
Ricardo Pereira,LEI,D,no,yes
Richairo Zivkovic,SHU,F,no,yes
Richarlison,EVE,F,no,yes
Rico Henry,BRF,D,no,yes
Riyad Mahrez,MCI,F,no,yes
Rob Holding,ARS,D,no,yes
Robbie Brady,BUR,M,no,yes
Robert Sanchez,BHA,G,no,yes
Robert Snodgrass,WBA,M,no,yes
Roberto Firmino,LIV,F,no,yes
Roberto Jimenez,WHU,G,no,yes
Roberto Pereyra,WAT,M,no,yes
Robin Koch,LEE,"D,M",no,yes
Robin Olsen,AVL,G,no,yes
Rodri,MCI,M,no,yes
Rodrigo,LEE,"M,F",no,yes
Rodrigo Bentancur,TOT,M,no,yes
Romain Perraud,SOU,D,no,yes
Romain Saiss,WOL,D,no,yes
Romaine Sawyers,WBA,M,no,yes
Romelu Lukaku,CHE,F,no,yes
Ross Barkley,CHE,M,no,yes
Ruben Dias,MCI,D,no,yes
Ruben Loftus-Cheek,CHE,M,yes,yes
Ruben Neves,WOL,M,no,yes
Ruben Vinagre,WOL,D,no,yes
Rui Patricio,WOL,G,no,yes
Runar Alex Runarsson,ARS,G,no,yes
Ryan Bennett,LEI,D,no,yes
Ryan Bertrand,LEI,D,no,yes
Ryan Fraser,NEW,M,no,yes
Ryan Fredericks,WHU,D,no,yes
Sadio Mane,LIV,F,no,yes
Said Benrahma,WHU,"M,F",no,yes
Salomon Rondon,EVE,F,no,yes
Sam Byram,NOR,D,no,yes
Sam Field,WBA,M,no,yes
Sam Greenwood,LEE,F,no,yes
Sam Johnstone,WBA,G,no,yes
Sam Surridge,BOU,F,no,yes
Saman Ghoddos,BRF,"M,F",no,yes
Samir,WAT,D,no,yes
Samuel Kalu,WAT,F,no,yes
Sander Berge,SHU,M,no,yes
Saul Niguez,CHE,M,no,yes
Scott Carson,MCI,G,no,yes
Scott Dann,CRY,D,no,yes
Scott McTominay,MUN,M,yes,yes
Sead Kolasinac,ARS,D,no,yes
Seamus Coleman,EVE,D,no,yes
Sean Longstaff,NEW,M,no,yes
Sebastian Prodl,WAT,D,no,yes
Sebastien Haller,WHU,F,no,yes
Semi Ajayi,WBA,D,no,yes
Serge Aurier,TOT,D,no,yes
Sergi Canos,BRF,"M,F",no,yes
Sergio Aguero,MCI,F,no,yes
Sergio Reguilon,TOT,D,no,yes
Shandon Baptiste,BRF,M,no,yes
Shane Duffy,BHA,D,no,yes
Shane Long,SOU,F,no,yes
Shkodran Mustafi,ARS,D,no,yes
Shola Shoretire,MUN,F,no,yes
Sidnei Tavares,LEI,M,no,yes
Simon Francis,BOU,D,no,yes
Simon Moore,SHU,G,no,yes
Sofiane Boufal,SOU,M,no,yes
Sokratis,ARS,D,no,yes
Solly March,BHA,M,no,yes
Son Heung-Min,TOT,"M,F",yes,yes
Sonny Perkins,WHU,M,no,yes
Steve Cook,BOU,D,no,yes
Steven Alzate,BHA,M,no,yes
Steven Bergwijn,TOT,F,no,yes
Stuart Armstrong,SOU,M,no,yes
Stuart Dallas,LEE,"D,M",no,yes
Stuart McKinstry,LEE,M,yes,yes
Tahith Chong,MUN,M,no,yes
Takehiro Tomiyasu,ARS,D,no,yes
Takumi Minamino,LIV,F,no,yes
Tammy Abraham,CHE,F,no,yes
Tanguy Ndombele,TOT,M,no,yes
Tariq Lamptey,BHA,D,no,yes
Tariqe Fosu-Henry,BRF,M,yes,yes
Taylor Richards,BHA,"M,F",no,yes
Teemu Pukki,NOR,F,no,yes
Terence Kongolo,FUL,D,no,yes
Thakgalo Leshabela,LEI,M,no,yes
Theo Corbeanu,WOL,F,no,yes
Theo Walcott,SOU,M,no,yes
Thiago,LIV,M,no,yes
Thiago Silva,CHE,D,no,yes
Thomas Partey,ARS,M,no,yes
Tim Iroegbunam,AVL,M,no,yes
Tim Krul,NOR,G,no,yes
Tim Ream,FUL,D,no,yes
Timm Klose,NOR,D,no,yes
Timo Werner,CHE,F,no,yes
Timothy Castagne,LEI,D,no,yes
Timothy Fosu-Mensah,MUN,D,yes,yes
Toby Alderweireld,TOT,D,no,yes
Todd Cantwell,NOR,M,no,yes
Tom Cairney,FUL,M,no,yes
Tom Cleverley,WAT,M,no,yes
Tom Davies,EVE,M,no,yes
Tom Heaton,AVL,G,no,yes
Tom Trybull,NOR,M,no,yes
Tomas Soucek,WHU,M,no,yes
Tommy Doyle,MCI,M,no,yes
Tony Springett,NOR,M,no,yes
Tosin Adarabioyo,FUL,D,no,yes
Toti,WOL,D,no,yes
Trent Alexander-Arnold,LIV,D,yes,yes
Trevoh Chalobah,CHE,"D,M",no,yes
Trezeguet,AVL,"M,F",no,yes
Trincao,WOL,F,no,yes
Troy Deeney,WAT,F,no,yes
Troy Parrott,TOT,F,no,yes
Tyler Morton,LIV,M,no,yes
Tyler Onyango,EVE,M,no,yes
Tyler Roberts,LEE,"M,F",no,yes
Tyrese Francois,FUL,M,no,yes
Tyrick Mitchell,CRY,D,no,yes
Tyrone Mings,AVL,D,no,yes
Valentino Lazaro,NEW,M,no,yes
Valentino Livramento,SOU,D,no,yes
Vicente Guaita,CRY,G,no,yes
Victor Camarasa,CRY,M,no,yes
Victor Lindelof,MUN,D,no,yes
Victor Wanyama,TOT,M,no,yes
Virgil van Dijk,LIV,D,yes,yes
Vitalii Mykolenko,EVE,D,no,yes
Vitaly Janelt,BRF,M,no,yes
Vitinha,WOL,M,no,yes
Vladimir Coufal,WHU,D,no,yes
Wayne Hennessey,BUR,G,no,yes
Wes Morgan,LEI,D,no,yes
Wesley,AVL,F,no,yes
Wesley Fofana,LEI,D,no,yes
Wilfred Ndidi,LEI,M,no,yes
Wilfried Zaha,CRY,F,no,yes
Will Hughes,CRY,M,no,yes
Will Norris,BUR,G,no,yes
William Fish,MUN,D,no,yes
William Smallbone,SOU,M,no,yes
William Troost-Ekong,WAT,D,yes,yes
Willian,ARS,F,no,yes
Willian Jose,WOL,F,no,yes
Willy Boly,WOL,D,no,yes
Willy Caballero,SOU,G,no,yes
Wout Weghorst,BUR,F,no,yes
Xherdan Shaqiri,LIV,"M,F",no,yes
Yan Valery,SOU,D,no,yes
Yerry Mina,EVE,D,no,yes
Yoane Wissa,BRF,M,no,yes
Yoshinori Muto,NEW,F,no,yes
Youri Tielemans,LEI,M,no,yes
Yves Bissouma,BHA,M,no,yes
Zack Steffen,MCI,G,no,yes
Zanka,BRF,D,no,yes
