player,position,team
Bertrand Traore,"M,F",AVL
Billy Gilmour,M,CHE
Billy Sharp,F,SHU
Bobby De Cordova-Reid,"M,F",FUL
Brandon Williams,D,MUN
Branislav Ivanovic,D,WBA
Bruno Fernandes,M,MUN
Bukayo Saka,"D,M",ARS
Caglar Soyuncu,D,LEI
Caleb Watts,M,SOU
Callum Hudson-Odoi,F,CHE
Callum Robinson,F,WBA
Callum Wilson,F,NEW
Calum Chambers,D,ARS
Caoimhin Kelleher,G,LIV
Carlos Vinicius,F,TOT
Carney Chukwuemeka,M,AVL
Cedric Soares,D,ARS
Cengiz Under,M,LEI
Cenk Tosun,F,EVE
Cesar Azpilicueta,D,CHE
Charlie Austin,F,WBA
Charlie Taylor,D,BUR
Che Adams,F,SOU
Cheikhou Kouyate,"D,M",CRY
Chris Basham,D,SHU
Chris Wood,F,BUR
Christian Benteke,F,CRY
Christian Fuchs,D,LEI
Christian Pulisic,"M,F",CHE
Ciaran Clark,D,NEW
Conor Coady,D,WOL
Conor Gallagher,M,WBA
Conor Hourihane,M,AVL
Conor Townsend,D,WBA
Craig Dawson,D,WHU
Curtis Jones,M,LIV
Dale Stephens,M,BUR
Dan Burn,D,BHA
Dane Scarlett,F,TOT
Dani Ceballos,M,ARS
Daniel Amartey,D,LEI
Daniel James,M,MUN
Daniel Jebbison,F,SHU
Daniel NLundulu,F,SOU
Daniel Podence,"M,F",WOL
Danny Ings,F,SOU
Danny Welbeck,F,BHA
Dara OShea,D,WBA
Darnell Furlong,D,WBA
Darren Randolph,G,WHU
David Button,G,WBA
David de Gea,G,MUN
David Luiz,D,ARS
David McGoldrick,F,SHU
Davinson Sanchez,D,TOT
Davy Propper,M,BHA
Dean Henderson,G,MUN
Deandre Yedlin,D,NEW
Declan Rice,M,WHU
Dele Alli,M,TOT
Demarai Gray,M,LEI
Denis Odoi,D,FUL
Dennis Praet,M,LEI
Diego Llorente,D,LEE
Diogo Jota,F,LIV
Divock Origi,F,LIV
Dominic Calvert-Lewin,F,EVE
Donny van de Beek,M,MUN
Douglas Luiz,M,AVL
Dwight Gayle,F,NEW
Dwight McNeil,M,BUR
Eberechi Eze,M,CRY
Eddie Nketiah,F,ARS
Ederson,G,MCI
Edinson Cavani,F,MUN
Edouard Mendy,G,CHE
Elliot Anderson,M,NEW
Emerson,D,CHE
Emil Krafth,D,NEW
Emile Smith Rowe,M,ARS
Emiliano Martinez,G,AVL
Enda Stevens,"D,M",SHU
Eric Bailly,D,MUN
Eric Dier,D,TOT
Eric Garcia,D,MCI
Erik Lamela,M,TOT
Erik Pieters,D,BUR
Ethan Ampadu,"D,M",SHU
Ezgjan Alioski,"D,M",LEE
Ezri Konsa Ngoyo,D,AVL
Fabian Balbuena,D,WHU
Fabian Delph,M,EVE
Fabian Schar,D,NEW
Fabinho,"D,M",LIV
Fabio Carvalho,M,FUL
Fabio Silva,F,WOL
Federico Fernandez,D,NEW
Felipe Anderson,M,WHU
Femi Seriki,M,SHU
Fernandinho,"D,M",MCI
Ferran Torres,F,MCI
Fikayo Tomori,D,CHE
Filip Krovinovic,M,WBA
Fraser Forster,G,SOU
Fred,M,MUN
Gabriel Jesus,F,MCI
Gabriel Magalhaes,D,ARS
Gabriel Martinelli,"M,F",ARS
Gaetano Berardi,D,LEE
Gareth Bale,"M,F",TOT
Gary Cahill,D,CRY
George Baldock,"D,M",SHU
Georginio Wijnaldum,M,LIV
Giovani Lo Celso,M,TOT
Grady Diangana,M,WBA
