Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Erik Pieters,BUR,D,119,Seanmacd,BUR 1<br/>@WOL 1 F,8.65,8.65,75%,7.3%
Granit Xhaka,ARS,M,120,FA,ARS 1<br/>@LIV 3 F,8.65,8.65,67%,17.4%
Jordan Henderson,LIV,M,121,FA,ARS 1<br/>@LIV 3 F,8.55,8.55,50%,9.6%
John Egan,SHU,D,122,FA,LEI 2<br/>@SHU 1 F,8.55,8.55,8%,3.5%
Ruben Neves,WOL,M,123,FA,BUR 1<br/>@WOL 1 F,8.5,8.5,100%,7%
Ben Godfrey,NOR,"D,M",124,FA,CHE 3<br/>@NOR 2 F,8.5,8.5,8%,4.1%
Dale Stephens,BHA,M,125,FA,SOU 2<br/>@BHA 0 F,8.5,8.5,8%,4.4%
James Ward-Prowse,SOU,M,126,Damo,SOU 2<br/>@BHA 0 F,8.45,8.45,83%,7.4%
Ben Mee,BUR,D,127,FA,BUR 1<br/>@WOL 1 F,8.45,8.45,75%,8.8%
Isaac Hayden,NEW,M,128,FA,NEW 1<br/>@TOT 0 F,8.45,8.45,8%,-16.6%
Luka Milivojevic,CRY,M,129,Seanmacd, CRY 2<br/>@MUN 1 F,8.4,8.4,100%,3.9%
Ryan Bennett (prior),WOL,D,130,FA,BUR 1<br/>@WOL 1 F,8.4,8.4,42%,8%
Danny Rose (prior),TOT,"D,M",131,FA,NEW 1<br/>@TOT 0 F,8.3,8.3,75%,-11%
Roberto Firmino,LIV,"M,F",132,Eoghanoc,ARS 1<br/>@LIV 3 F,8.25,8.25,100%,0%
Bernardo Silva,MCI,"M,F",133,mcavinur,MCI 3<br/>@BOU 1 F,8.25,8.25,100%,0.1%
Jamal Lewis,NOR,D,134,FA,CHE 3<br/>@NOR 2 F,8.15,8.15,8%,2.9%
Joel Ward,CRY,D,135,MKFC, CRY 2<br/>@MUN 1 F,8.1,8.1,33%,1.5%
Georginio Wijnaldum,LIV,M,136,MKFC,ARS 1<br/>@LIV 3 F,8,8,83%,21%
Harry Winks,TOT,M,137,FA,NEW 1<br/>@TOT 0 F,8,8,33%,19%
Morgan Gibbs-White,WOL,M,138,FA,BUR 1<br/>@WOL 1 F,8,8,0%,-1.9%
Andreas Christensen,CHE,D,139,Seanmacd,CHE 3<br/>@NOR 2 F,7.85,7.85,42%,22.9%
Chris Wood,BUR,F,140,FA,BUR 1<br/>@WOL 1 F,7.8,7.8,67%,32%
Joao Moutinho,WOL,M,141,ZKL,BUR 1<br/>@WOL 1 F,7.75,7.75,100%,1.7%
Matt Doherty,WOL,"D,M",142,FA,BUR 1<br/>@WOL 1 F,7.75,7.75,92%,-1%
Sokratis,ARS,D,143,FA,ARS 1<br/>@LIV 3 F,7.75,7.75,75%,29.1%
Matteo Guendouzi,ARS,M,144,MKFC,ARS 1<br/>@LIV 3 F,7.65,7.65,67%,15.8%
Chris Mepham,BOU,D,145,FA,MCI 3<br/>@BOU 1 F,7.6,7.6,8%,2.9%
Jack Cork,BUR,M,146,FA,BUR 1<br/>@WOL 1 F,7.6,7.6,0%,-6.5%
Scott McTominay,MUN,M,147,FA, CRY 2<br/>@MUN 1 F,7.5,7.5,67%,36%
Dan Burn,BHA,D,148,FA,SOU 2<br/>@BHA 0 F,7.5,7.5,42%,3.3%
David McGoldrick,SHU,F,149,FA,LEI 2<br/>@SHU 1 F,7.5,7.5,17%,10.5%
Jefferson Lerma,BOU,M,150,FA,MCI 3<br/>@BOU 1 F,7.5,7.5,8%,-1.1%
Kurt Zouma,CHE,D,151,FA,CHE 3<br/>@NOR 2 F,7.45,7.45,75%,34.1%
Douglas Luiz,AVL,M,152,FA,EVE 0<br/>@AVL 2 F,7.45,7.45,42%,27.9%
Lewis Dunk,BHA,D,153,Seanmacd,SOU 2<br/>@BHA 0 F,7.4,7.4,83%,12.4%
Johann Gudmundsson,BUR,M,154,MKFC,BUR 1<br/>@WOL 1 F,7.35,7.35,100%,13%
Bernd Leno,ARS,G,155,Damo,ARS 1<br/>@LIV 3 F,7.25,7.25,92%,10.6%
Lukasz Fabianski,WHU,G,156,FA,WHU 3<br/>@WAT 1 F,7.25,7.25,75%,-5%
Adrian,LIV,G,157,FA,ARS 1<br/>@LIV 3 F,7.25,7.25,75%,20.9%
Jack OConnell,SHU,D,158,FA,LEI 2<br/>@SHU 1 F,7.25,7.25,17%,-9.6%
Seamus Coleman,EVE,D,159,ColmL,EVE 0<br/>@AVL 2 F,7.15,7.15,100%,2.2%
Martin Montoya,BHA,D,160,FA,SOU 2<br/>@BHA 0 F,7.15,7.15,17%,-0.1%
Conor Coady,WOL,D,161,FA,BUR 1<br/>@WOL 1 F,7.1,7.1,17%,-4.8%
Hugo Lloris,TOT,G,162,Eoghanoc,NEW 1<br/>@TOT 0 F,7,7,100%,1%
Kasper Schmeichel,LEI,G,163,MKFC,LEI 2<br/>@SHU 1 F,7,7,92%,14.2%
Diogo Jota,WOL,"M,F",164,Damo,BUR 1<br/>@WOL 1 F,7,7,75%,-18.3%
Jose Holebas,WAT,D,165,FA,WHU 3<br/>@WAT 1 F,6.95,6.95,67%,7.6%
Steve Cook,BOU,D,166,FA,MCI 3<br/>@BOU 1 F,6.95,6.95,42%,14.4%
Ayoze Perez,LEI,"M,F",167,MKFC,LEI 2<br/>@SHU 1 F,6.85,6.85,92%,4.2%
Grant Hanley,NOR,D,168,FA,CHE 3<br/>@NOR 2 F,6.8,6.8,0%,-0.9%
Yerry Mina,EVE,D,169,Damo,EVE 0<br/>@AVL 2 F,6.8,6.8,92%,6.1%
Alex Iwobi,EVE,"M,F",170,FA,EVE 0<br/>@AVL 2 F,6.75,6.75,83%,2.2%
Issa Diop,WHU,D,171,FA,WHU 3<br/>@WAT 1 F,6.7,6.7,42%,14.7%
Miguel Almiron,NEW,M,172,FA,NEW 1<br/>@TOT 0 F,6.6,6.6,83%,20.2%
Ainsley Maitland-Niles,ARS,M,173,ZKL,ARS 1<br/>@LIV 3 F,6.5,6.5,83%,10.1%
Mat Ryan,BHA,G,174,FA,SOU 2<br/>@BHA 0 F,6.5,6.5,8%,-14%
Oriol Romeu,SOU,M,175,FA,SOU 2<br/>@BHA 0 F,6.5,6.5,0%,-3.4%
Sean Longstaff,NEW,M,176,FA,NEW 1<br/>@TOT 0 F,6.45,6.45,17%,7%
Kyle Walker-Peters (prior),TOT,D,177,FA,NEW 1<br/>@TOT 0 F,6.3,6.3,50%,-12.6%
Pierre-Emile Hojbjerg,SOU,M,178,FA,SOU 2<br/>@BHA 0 F,6.25,6.25,58%,20.5%
Neal Maupay,BHA,F,179,FA,SOU 2<br/>@BHA 0 F,6.25,6.25,25%,-2.2%
