"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Joshua King","BOU","F","112","mcavinur","BOU 0<br/>@ARS 1 F","9.35","9.35","99%","-0.8%"
"Moussa Sissoko","TOT","M","113","FA","TOT 0<br/>@BHA 3 F","9.35","9.35","30%","-11.5%"
"Alex Iwobi","EVE","M,F","114","FA","EVE 0<br/>@BUR 1 F","9","9","74%","-1.1%"
"Oriol Romeu","SOU","M","115","FA","CHE 4<br/>@SOU 1 F","9","9","12%","-12.9%"
"Steve Cook","BOU","D","116","FA","BOU 0<br/>@ARS 1 F","8.9","8.9","28%","-5.8%"
"Wilfried Zaha","CRY","M,F","117","ColmOF","CRY 2<br/>@WHU 1 F","8.85","8.85","99%","-1%"
"Kenny McLean","NOR","M","118","FA","AVL 5<br/>@NOR 1 F","8.85","8.85","4%","+3.7%"
"Dale Stephens","BHA","M","119","FA","TOT 0<br/>@BHA 3 F","8.75","8.75","10%","-6.5%"
"Moritz Leitner","NOR","M","120","FA","AVL 5<br/>@NOR 1 F","8.75","8.75","5%","-3.3%"
"Jonny Evans","LEI","D","121","FA","LEI 1<br/>@LIV 2 F","8.7","8.7","63%","-3.9%"
"Erik Lamela","TOT","M","122","Eoghanoc","TOT 0<br/>@BHA 3 F","8.6","8.6","86%","-5.3%"
"Fabian Delph","EVE","D,M","123","FA","EVE 0<br/>@BUR 1 F","8.6","8.6","16%","-1.2%"
"Fabinho","LIV","M","124","mcavinur","LEI 1<br/>@LIV 2 F","8.55","8.55","82%","+6.9%"
"Ruben Neves","WOL","M","125","FA","WOL 2<br/>@MCI 0 F","8.55","8.55","72%","-11.2%"
"Jan Vertonghen","TOT","D","126","FA","TOT 0<br/>@BHA 3 F","8.4","8.4","62%","+3.6%"
"Jefferson Lerma","BOU","M","127","FA","BOU 0<br/>@ARS 1 F","8.4","8.4","8%","+7.9%"
"Roberto Firmino","LIV","M,F","128","Eoghanoc","LEI 1<br/>@LIV 2 F","8.25","8.25","100%","0%"
"Lucas Digne","EVE","D","129","ZKL","EVE 0<br/>@BUR 1 F","8.25","8.25","100%","-0.1%"
"Ayoze Perez","LEI","M,F","130","FA","LEI 1<br/>@LIV 2 F","8.25","8.25","75%","-17%"
"Granit Xhaka","ARS","M","131","FA","BOU 0<br/>@ARS 1 F","8.25","8.25","38%","-19.9%"
"Paulo Gazzaniga","TOT","G","132","FA","TOT 0<br/>@BHA 3 F","8.25","8.25","36%","-14.2%"
"Jorginho","CHE","M","133","MKFC","CHE 4<br/>@SOU 1 F","8.1","8.1","88%","-3.2%"
"Jack Stacey","BOU","D","134","FA","BOU 0<br/>@ARS 1 F","8.05","8.05","1%","+1%"
"Son Heung-Min","TOT","M,F","135","Eoghanoc","TOT 0<br/>@BHA 3 F","8","8","100%","-0.1%"
"Ilkay Gundogan","MCI","M","136","FA","WOL 2<br/>@MCI 0 F","8","8","73%","-10.4%"
"Declan Rice","WHU","M","137","MKFC","CRY 2<br/>@WHU 1 F","8","8","48%","-1.6%"
"Dennis Praet","LEI","M","138","FA","LEI 1<br/>@LIV 2 F","7.85","7.85","4%","-12.8%"
"Virgil van Dijk","LIV","D","139","Seanmacd","LEI 1<br/>@LIV 2 F","7.8","7.8","100%","0%"
"Yerry Mina","EVE","D","140","FA","EVE 0<br/>@BUR 1 F","7.8","7.8","58%","-8.2%"
"Aaron Cresswell","WHU","D","141","FA","CRY 2<br/>@WHU 1 F","7.8","7.8","30%","-28.2%"
"Johann Gudmundsson","BUR","M","142","MKFC","EVE 0<br/>@BUR 1 F","7.75","7.75","72%","-28%"
"Roberto Pereyra","WAT","M","143","FA","SHU 0<br/>@WAT 0 F","7.75","7.75","46%","-3.8%"
"Pierre-Emile Hojbjerg","SOU","M","144","FA","CHE 4<br/>@SOU 1 F","7.75","7.75","36%","-22.3%"
"Angelo Ogbonna","WHU","D","145","FA","CRY 2<br/>@WHU 1 F","7.75","7.75","9%","-7.5%"
"James McCarthy","CRY","M","146","FA","CRY 2<br/>@WHU 1 F","7.75","7.75","1%","+0.7%"
"Abdoulaye Doucoure","WAT","M","147","FA","SHU 0<br/>@WAT 0 F","7.7","7.7","70%","+2.9%"
"Ben Davies","TOT","D","148","FA","TOT 0<br/>@BHA 3 F","7.6","7.6","21%","+4.8%"
"Nathan Ake","BOU","D","149","FA","BOU 0<br/>@ARS 1 F","7.55","7.55","84%","+9.2%"
"Scott McTominay","MUN","M","150","Eoghanoc","MUN 0<br/>@NEW 1 F","7.5","7.5","73%","-19%"
"Kurt Zouma","CHE","D","151","FA","CHE 4<br/>@SOU 1 F","7.5","7.5","35%","-31.5%"
"Angus Gunn","SOU","G","152","FA","CHE 4<br/>@SOU 1 F","7.5","7.5","18%","-7%"
"Andreas Pereira","MUN","M","153","FA","MUN 0<br/>@NEW 1 F","7.5","7.5","17%","+0.3%"
"Steven Alzate","BHA","F","154","FA","TOT 0<br/>@BHA 3 F","7.5","7.5","1%","-7%"
"Jan Bednarek","SOU","D","155","Seanmacd","CHE 4<br/>@SOU 1 F","7.45","7.45","11%","+2.9%"
"Nicolas Otamendi","MCI","D","156","Damo","WOL 2<br/>@MCI 0 F","7.35","7.35","78%","-13.2%"
"Nathan Redmond","SOU","M,F","157","Eoghanoc","CHE 4<br/>@SOU 1 F","7.25","7.25","92%","+0.6%"
"Tom Cleverley","WAT","M","158","FA","SHU 0<br/>@WAT 0 F","7.25","7.25","40%","-10.1%"
"Harry Maguire","MUN","D","159","ColmOF","MUN 0<br/>@NEW 1 F","7.2","7.2","99%","-0.8%"
"Caglar Soyuncu","LEI","D","160","Damo","LEI 1<br/>@LIV 2 F","7.2","7.2","86%","-14%"
"Charlie Taylor","BUR","D","161","FA","EVE 0<br/>@BUR 1 F","7.05","7.05","4%","-3.9%"
"Christian Eriksen","TOT","M","162","Eoghanoc","TOT 0<br/>@BHA 3 F","7","7","100%","-0.5%"
"Axel Tuanzebe","MUN","D","163","FA","MUN 0<br/>@NEW 1 F","7","7","4%","+3.8%"
"Leander Dendoncker","WOL","M","164","FA","WOL 2<br/>@MCI 0 F","6.95","6.95","10%","+10.5%"
"Georginio Wijnaldum","LIV","M","165","FA","LEI 1<br/>@LIV 2 F","6.75","6.75","64%","+6.1%"
"Gary Cahill","CRY","D","166","FA","CRY 2<br/>@WHU 1 F","6.75","6.75","6%","-2.2%"
"Ibrahim Amadou","NOR","M","167","FA","AVL 5<br/>@NOR 1 F","6.75","6.75","1%","+1.3%"
"Fernandinho","MCI","M","168","FA","WOL 2<br/>@MCI 0 F","6.7","6.7","49%","-9.7%"
"Eric Dier","TOT","M","169","FA","TOT 0<br/>@BHA 3 F","6.7","6.7","2%","+1.9%"
"Fikayo Tomori","CHE","D","170","FA","CHE 4<br/>@SOU 1 F","6.65","6.65","66%","-9.5%"
"Tyrone Mings","AVL","D","171","W (Thu)","AVL 5<br/>@NOR 1 F","6.65","6.65","63%","-12.1%"
"Jeffrey Schlupp","CRY","D,M","172","ColmL","CRY 2<br/>@WHU 1 F","6.65","6.65","58%","+16.7%"
"Issa Diop","WHU","D","173","FA","CRY 2<br/>@WHU 1 F","6.6","6.6","34%","-16%"
"Cesar Azpilicueta","CHE","D","174","mcavinur","CHE 4<br/>@SOU 1 F","6.3","6.3","100%","-0.2%"
"Ben Chilwell","LEI","D","175","Eoghanoc","LEI 1<br/>@LIV 2 F","6.25","6.25","99%","+7.5%"
"Fred","MUN","M","176","FA","MUN 0<br/>@NEW 1 F","6.25","6.25","4%","-4.5%"
"Toby Alderweireld","TOT","D","177","Damo","TOT 0<br/>@BHA 3 F","6.15","6.15","81%","-2.3%"
"Harry Kane","TOT","F","178","MKFC","TOT 0<br/>@BHA 3 F","6","6","100%","-0.1%"
"Pierre-Emerick Aubameyang","ARS","F","179","ColmOF","BOU 0<br/>@ARS 1 F","6","6","100%","-0.1%"
"Gylfi Sigurdsson","EVE","M","180","ColmOF","EVE 0<br/>@BUR 1 F","6","6","99%","-0.6%"
"Joelinton","NEW","F","181","FA","MUN 0<br/>@NEW 1 F","6","6","68%","-32.1%"
