Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Georginio Wijnaldum,LIV,M,181,MKFC,NOR 1<br/>@LIV 4 F,5.75,5.75,85%,0%
Anwar El Ghazi,AVL,M,182,MKFC,AVL 1</br>@TOT 3 F,5.75,5.75,18%,0%
Sean Longstaff,NEW,M,183,FA,ARS 1</br>@NEW 0 F,5.75,5.75,12%,0%
Jurgen Locadia,BHA,F,184,FA,WAT 0</br>@BHA 3 F,5.75,5.75,3%,0%
Kenny McLean,NOR,M,185,FA,NOR 1<br/>@LIV 4 F,5.55,5.55,1%,0%
Abdoulaye Doucoure,WAT,M,186,ColmOF,WAT 0</br>@BHA 3 F,5.5,5.5,97%,0%
Joseph Willock,ARS,M,187,FA,ARS 1</br>@NEW 0 F,5.5,5.5,11%,0%
Andre Gomes,EVE,M,188,FA,EVE 0<br/>@CRY 0 F,5.35,5.35,37%,0%
Danny Ings,SOU,F,189,FA,SOU 0<br/>@BUR 3 F,5.25,5.25,82%,0%
Ayoze Perez,LEI,"M,F",190,MKFC,WOL 0</br>@LEI 0 F,5.1,5.1,100%,0%
Dominic Calvert-Lewin,EVE,F,191,FA,EVE 0<br/>@CRY 0 F,5.1,5.1,43%,0%
Alisson,LIV,G,192,Damo,NOR 1<br/>@LIV 4 F,5,5,100%,0%
Miguel Almiron,NEW,M,193,W (Thu),ARS 1</br>@NEW 0 F,5,5,93%,0%
Ben Foster,WAT,G,194,ColmOF,WAT 0</br>@BHA 3 F,5,5,83%,0%
Martin Dubravka,NEW,G,195,FA,ARS 1</br>@NEW 0 F,5,5,35%,0%
Jonjo Shelvey,NEW,M,196,FA,ARS 1</br>@NEW 0 F,5,5,17%,0%
Ahmed El Mohamady,AVL,D,197,FA,AVL 1</br>@TOT 3 F,4.95,4.95,10%,0%
Michail Antonio,WHU,M,198,FA,MCI 5<br/>@WHU 0 F,4.75,4.75,91%,0%
Allan Saint-Maximin,NEW,F,199,FA,ARS 1</br>@NEW 0 F,4.75,4.75,27%,0%
Morgan Schneiderlin,EVE,M,200,FA,EVE 0<br/>@CRY 0 F,4.55,4.55,2%,0%
Christian Pulisic,CHE,M,201,Eoghanoc,CHE 0<br/>@MUN 4 F,4.5,4.5,99%,0%
Ryan Fredericks,WHU,D,202,FA,MCI 5<br/>@WHU 0 F,4.35,4.35,4%,0%
Bernard,EVE,"M,F",203,FA,EVE 0<br/>@CRY 0 F,4.1,4.1,59%,0%
Marco Stiepermann,NOR,M,204,FA,NOR 1<br/>@LIV 4 F,4.1,4.1,10%,0%
Henrikh Mkhitaryan,ARS,M,205,W (Thu),ARS 1</br>@NEW 0 F,4,4,88%,0%
Andre Gray,WAT,F,206,FA,WAT 0</br>@BHA 3 F,4,4,13%,0%
Jack Wilshere,WHU,M,207,FA,MCI 5<br/>@WHU 0 F,4,4,8%,0%
Angus Gunn,SOU,G,208,FA,SOU 0<br/>@BUR 3 F,4,4,8%,0%
Issa Diop,WHU,D,209,mcavinur,MCI 5<br/>@WHU 0 F,3.95,3.95,41%,0%
Jose Holebas,WAT,D,210,ColmOF,WAT 0</br>@BHA 3 F,3.85,3.85,94%,0%
Kepa Arrizabalaga,CHE,G,211,mcavinur,CHE 0<br/>@MUN 4 F,3.75,3.75,94%,0%
Yan Valery,SOU,"D,M",212,FA,SOU 0<br/>@BUR 3 F,3.6,3.6,24%,0%
Craig Cathcart,WAT,D,213,FA,WAT 0</br>@BHA 3 F,3.6,3.6,13%,0%
Jack Stephens,SOU,D,214,FA,SOU 0<br/>@BUR 3 F,3.6,3.6,1%,0%
Robert Snodgrass,WHU,M,215,FA,MCI 5<br/>@WHU 0 F,3.5,3.5,29%,0%
George Baldock,SHU,D,216,FA,SHU 1</br>@BOU 1 F,3.3,3.3,1%,0%
Glenn Murray,BHA,F,217,FA,WAT 0</br>@BHA 3 F,3.25,3.25,64%,0%
Harvey Barnes,LEI,M,218,FA,WOL 0</br>@LEI 0 F,3.25,3.25,29%,0%
Jetro Willems,NEW,D,219,FA,ARS 1</br>@NEW 0 F,3.25,3.25,4%,0%
Wesley,AVL,F,220,FA,AVL 1</br>@TOT 3 F,3.1,3.1,57%,0%
Chris Wood,BUR,F,221,FA,SOU 0<br/>@BUR 3 F,3.1,3.1,56%,0%
Gerard Deulofeu,WAT,F,222,Damo,WAT 0</br>@BHA 3 F,3,3,96%,0%
Pablo Fornals,WHU,M,223,FA,MCI 5<br/>@WHU 0 F,3,3,78%,0%
Adam Smith,BOU,D,224,FA,SHU 1</br>@BOU 1 F,2.9,2.9,8%,0%
Jean-Philippe Gbamin,EVE,M,225,FA,EVE 0<br/>@CRY 0 F,2.85,2.85,8%,0%
Luke Freeman,SHU,M,226,FA,SHU 1</br>@BOU 1 F,2.75,2.75,4%,0%
Ryan Fraser,BOU,M,227,Seanmacd,SHU 1</br>@BOU 1 F,2.5,2.5,100%,0%
Moise Kean,EVE,F,228,Damo,EVE 0<br/>@CRY 0 F,2.5,2.5,91%,0%
Kurt Zouma,CHE,D,229,FA,CHE 0<br/>@MUN 4 F,2.5,2.5,70%,0%
Che Adams,SOU,F,230,FA,SOU 0<br/>@BUR 3 F,2.5,2.5,53%,0%
Marc Albrighton,LEI,M,231,FA,WOL 0</br>@LEI 0 F,2.5,2.5,14%,0%
