162,DiegoRico
14,DiogoDalot
112,DiogoJota
7,DivockOrigi
19,DjibrilSidibé
505,DomingosQuina
345,DominicCalvert-Lewin
188,DominicSolanke
104,DouglasLuiz
550,DwightGayle
78,DwightMcNeil
239,EddieNketiah
442,Ederson
416,EldinJakupovic
225,Emerson
50,EmilKrafth
446,EmilianoBuendía
560,EmilianoMartínez
436,EndaStevens
118,EricBailly
338,EricDier
301,EricGarcía
48,ErikLamela
92,ErikPieters
334,EzequielSchelotto
360,EzriKonsa
224,FabianDelph
309,FabianSchär
362,Fabinho
297,FabiánBalbuena
207,FaustinoAnjorin
327,FedericoFernández
58,FelipeAnderson
339,Fernandinho
455,FikayoTomori
190,FilipBenkovic
429,FlorianLejeune
103,Fred
471,FreddieWoodman
354,FrédéricGuilbert
251,GabrielJesus
493,GabrielMartinelli
408,GaryCahill
526,GedsonFernandes
113,GeorgeBaldock
414,GeorgeThomas
243,GeorginioWijnaldum
231,GerardDeulofeu
274,GiovaniLoCelso
529,GlennMurray
386,GonçaloCardoso
348,GradyDiangana
512,GranitXhaka
401,GrantHanley
258,GylfiSigurdsson
206,HamzaChoudhury
554,HarrisonReed
335,HarryArter
57,HarryKane
55,HarryMaguire
156,HarryWilson
514,HarryWinks
559,HarveyBarnes
153,HenriLansbury
288,Heung-minSon
155,HeurelhoGomes
171,HugoLloris
80,HéctorBellerín
509,IgnacioPussetto
85,IlkayGündogan
200,IsaacHayden
448,IsaacSuccess
10,IsmaïlaSarr
392,IssaDiop
237,JackClarke
52,JackCork
484,JackGrealish
234,JackO'Connell
194,JackRobinson
120,JackRose
499,JackSimpson
293,JackStacey
409,JackStephens
303,JackWilshere
412,JacobMurphy
308,JairoRiedewald
322,JakeEastwood
331,JakeHesketh
520,JamaalLascelles
539,JamalLewis
137,JamesBree
37,JamesChester
60,JamesJustin
507,JamesMaddison
83,JamesMcArthur
160,JamesMcCarthy
122,JamesMilner
400,JamesTarkowski
295,JamesTomkins
215,JamesWard-Prowse
433,JamieSterry
491,JamieVardy
424,JanBednarek
138,JanMlakar
29,JanVertonghen
461,JannikVestergaard
396,JarrodBowen
439,JasonSteele
443,JavierManquillo
356,JayRodríguez
30,Jean-PhilippeGbamin
178,JedSteer
250,JeffHendrick
523,JeffersonLerma
285,JeffreySchlupp
472,JermainDefoe
475,JesseLingard
25,JetroWillems
372,JoeGomez
320,JoeHart
139,JoeWillock
381,JoelLatibeaudiere
216,JoelMatip
123,JoelPereira
108,JoelWard
312,Joelinton
467,JohnEgan
143,JohnFleck
111,JohnLundstram
489,JohnMcGinn
516,JohnRuddy
24,JohnStones
94,JonasLössl
175,JonjoShelvey
181,JonnyEvans
355,JonnyOtto
525,JordanAyew
383,JordanGraham
318,JordanHenderson
167,JordanPickford
437,JordonIbe
28,Jorginho
277,JoshBrownhill
174,JoshColey
375,JoshCullen
16,JoshuaKing
325,JosipDrmic
328,JoséHolebas
