,pred_01,gw_01,min_01,amp_01,gw_02,min_02,amp_02,gw_03,min_03,amp_03,gw_04,min_04,amp_04,gw_05,min_05,amp_05,gw_06,min_06,amp_06,gw_07,min_07,amp_07,gw_08,min_08,amp_08,gw_09,min_09,amp_09,gw_10,min_10,amp_10,gw_11,min_11,amp_11,gw_12,min_12,amp_12,gw_13,min_13,amp_13,gw_14,min_14,amp_14,gw_15,min_15,amp_15,gw_16,min_16,amp_16,gw_17,min_17,amp_17,gw_18,min_18,amp_18,gw_19,min_19,amp_19,gw_20,min_20,amp_20,gw_21,min_21,amp_21,gw_22,min_22,amp_22,gw_23,min_23,amp_23,gw_24,min_24,amp_24,gw_25,min_25,amp_25,gw_26,min_26,amp_26,gw_27,min_27,amp_27,gw_28,min_28,amp_28,gw_29,min_29,amp_29,team,name,position
346,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,7.5,1.0,-1,0.0,0.0,3,11.75,9.0,0,6.5,90.0,2,16.2,90.0,1,4.04,79.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,12.65,90.0,1,0.0,0.0,0,25.85,90.0,4,3.22,74.0,-1,8.22,69.0,2,0.0,0.0,0,0.0,90.0,-1,0.0,0.0,3,0.0,1.0,1,0.0,78.0,0,MUN,Brandon Williams,D
347,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,0.0,0.0,-1,0.0,0.0,2,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,MUN,DiShon Bernard,D
348,7.3,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,23.48,60.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,7.0,3.0,-1,0.0,0.0,2,7.5,2.0,0,0.0,1.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,MUN,Diogo Dalot,D
349,5.3,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,0.0,0.0,-1,0.0,0.0,2,0.0,0.0,0,0.0,90.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,12.0,0,MUN,Eric Bailly,D
350,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,0.0,0.0,-1,0.0,0.0,2,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,MUN,Ethan Laird,D
351,9.9,18.9,90.0,0,9.0,90.0,1,9.05,90.0,2,5.45,90.0,1,16.95,90.0,1,5.65,90.0,0,6.1,90.0,0,7.2,90.0,2,5.9,90.0,-1,8.1,90.0,3,10.1,90.0,0,9.4,90.0,2,7.85,90.0,1,4.9,90.0,3,9.15,90.0,0,9.7,90.0,-1,7.4,90.0,1,8.9,90.0,3,12.65,90.0,2,16.2,90.0,1,10.95,90.0,0,18.95,90.0,4,9.4,90.0,-1,7.05,90.0,2,16.7,90.0,0,0.0,90.0,-1,0.0,90.0,3,0.0,90.0,1,0.0,90.0,0,MUN,Harry Maguire,D
352,10.3,17.6,90.0,0,9.6,90.0,1,7.94,34.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,-3.07,11.0,3,10.0,3.0,0,5.26,89.0,-1,8.75,90.0,1,8.4,90.0,3,7.6,90.0,2,8.0,1.0,1,6.95,90.0,0,0.0,0.0,4,5.53,87.0,-1,12.86,21.0,2,18.5,90.0,0,0.0,90.0,-1,0.0,90.0,3,0.0,90.0,1,0.0,90.0,0,MUN,Luke Shaw,D
353,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,0.0,0.0,-1,0.0,0.0,2,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,MUN,Max Taylor,D
354,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,9.4,45.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,0.0,0.0,-1,10.55,90.0,2,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,MUN,Phil Jones,D
355,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,0.0,0.0,-1,0.0,0.0,2,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,MUN,Teden Mengi,D
