GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE,HOME_SCORE,AWAY_SCORE
27,SOU,NOR,57,19,SOUNOR,2,0
27,LEE,TOT,28,49,LEETOT,0,4
27,MUN,WAT,64,15,MUNWAT,0,0
27,CRY,BUR,44,28,CRYBUR,1,1
27,BHA,AVL,45,27,BHAAVL,0,2
27,BRF,NEW,44,29,BRFNEW,0,2
27,EVE,MCI,8,77,EVEMCI,0,1
27,WHU,WOL,43,28,WHUWOL,1,0
27,BUR,LEI,39,36,BURLEI,0,2
28,LEI,LEE,49,29,LEILEE,1,0
28,AVL,SOU,43,31,AVLSOU,4,0
28,NEW,BHA,35,36,NEWBHA,2,1
28,BUR,CHE,18,57,BURCHE,0,4
28,WOL,CRY,42,28,WOLCRY,0,2
28,NOR,BRF,28,44,NORBRF,1,3
28,LIV,WHU,76,9,LIVWHU,1,0
28,WAT,ARS,17,60,WATARS,2,3
28,MCI,MUN,71,11,MCIMUN,4,1
28,TOT,EVE,58,20,TOTEVE,5,0
28,SOU,NEW,47,28,SOUNEW,1,2
28,WOL,WAT,47,24,WOLWAT,4,0
28,LEE,AVL,36,39,LEEAVL,0,3
28,NOR,CHE,9,73,NORCHE,1,3
29,BHA,LIV,13,67,BHALIV,0,2
29,BRF,BUR,41,30,BRFBUR,2,0
29,MUN,TOT,39,37,MUNTOT,3,2
29,CHE,NEW,72,9,CHENEW,1,0
29,EVE,WOL,38,33,EVEWOL,0,1
29,WHU,AVL,41,33,WHUAVL,2,1
29,SOU,WAT,52,23,SOUWAT,1,2
29,LEE,NOR,57,19,LEENOR,2,1
29,ARS,LEI,62,17,ARSLEI,2,0
29,CRY,MCI,9,74,CRYMCI,0,0
29,BHA,TOT,30,44,BHATOT,0,2
29,ARS,LIV,22,55,ARSLIV,0,2
29,EVE,NEW,44,29,EVENEW,1,0
30,WOL,LEE,46,27,WOLLEE,2,3
30,AVL,ARS,29,44,AVLARS,0,1
30,LEI,BRF,46,30,LEIBRF,2,1
30,TOT,WHU,53,24,TOTWHU,3,1
31,LIV,WAT,87,3,LIVWAT,2,0
31,CHE,BRF,68,11,CHEBRF,1,4
31,BUR,MCI,7,77,BURMCI,0,2
31,WOL,AVL,35,35,WOLAVL,2,1
31,BHA,NOR,63,14,BHANOR,0,0
31,LEE,SOU,41,35,LEESOU,1,1
31,MUN,LEI,56,22,MUNLEI,1,1
31,WHU,EVE,50,24,WHUEVE,2,1
31,TOT,NEW,65,14,TOTNEW,5,1
31,CRY,ARS,24,49,CRYARS,3,0
31,BUR,EVE,40,30,BUREVE,3,2
32,NEW,WOL,37,33,NEWWOL,1,0
32,EVE,MUN,30,45,EVEMUN,1,0
32,ARS,BHA,59,16,ARSBHA,1,2
32,SOU,CHE,22,54,SOUCHE,0,6
32,WAT,LEE,35,39,WATLEE,0,3
32,AVL,TOT,28,48,AVLTOT,0,4
32,LEI,CRY,38,36,LEICRY,2,1
32,BRF,WHU,39,35,BRFWHU,2,0
32,NOR,BUR,26,46,NORBUR,2,0
32,MCI,LIV,44,31,MCILIV,2,2
33,TOT,BHA,61,17,TOTBHA,0,1
33,MUN,NOR,69,11,MUNNOR,3,2
33,SOU,ARS,21,56,SOUARS,1,0
33,WAT,BRF,30,44,WATBRF,1,2
33,NEW,LEI,37,36,NEWLEI,2,1
33,WHU,BUR,48,25,WHUBUR,1,1
33,LIV,MUN,75,9,LIVMUN,4,0
33,CHE,ARS,47,27,CHEARS,2,4
33,EVE,LEI,39,35,EVELEI,1,1
33,NEW,CRY,35,37,NEWCRY,1,0
33,MCI,BHA,79,5,MCIBHA,3,0
33,BUR,SOU,42,31,BURSOU,2,0
34,ARS,MUN,56,20,ARSMUN,3,1
34,MCI,WAT,91,1,MCIWAT,5,1
34,LEI,AVL,36,38,LEIAVL,0,0
34,NOR,NEW,29,44,NORNEW,0,3
34,BRF,TOT,25,52,BRFTOT,0,0
34,CHE,WHU,64,16,CHEWHU,1,0
34,BUR,WOL,40,30,BURWOL,1,0
34,BHA,SOU,45,28,BHASOU,2,2
34,LIV,EVE,85,4,LIVEVE,2,0
34,CRY,LEE,48,27,CRYLEE,0,0
34,MUN,CHE,30,45,MUNCHE,1,1
35,NEW,LIV,8,77,NEWLIV,0,1
35,AVL,NOR,60,17,AVLNOR,2,0
35,SOU,CRY,35,38,SOUCRY,1,2
35,WOL,BHA,35,34,WOLBHA,0,3
35,WAT,BUR,32,40,WATBUR,1,2
35,LEE,MCI,7,79,LEEMCI,0,4
35,EVE,CHE,20,57,EVECHE,1,0
35,TOT,LEI,63,16,TOTLEI,3,1
35,WHU,ARS,23,53,WHUARS,1,2
35,MUN,BRF,43,32,MUNBRF,3,0
36,CHE,WOL,68,11,CHEWOL,2,2
36,BUR,AVL,33,39,BURAVL,1,3
36,CRY,WAT,48,25,CRYWAT,1,0
36,BRF,SOU,47,28,BRFSOU,3,0
36,BHA,MUN,39,34,BHAMUN,4,0
36,LIV,TOT,68,13,LIVTOT,1,1
36,ARS,LEE,66,14,ARSLEE,2,1
36,LEI,EVE,42,31,LEIEVE,1,2
36,NOR,WHU,30,44,NORWHU,0,4
36,MCI,NEW,84,4,MCINEW,5,0
36,AVL,LIV,14,65,AVLLIV,1,2
36,LEE,CHE,22,55,LEECHE,0,3
36,LEI,NOR,49,25,LEINOR,3,0
36,WAT,EVE,31,42,WATEVE,0,0
36,WOL,MCI,8,76,WOLMCI,1,5
36,TOT,ARS,42,33,TOTARS,3,0
37,TOT,BUR,70,11,TOTBUR,1,0
37,AVL,CRY,40,32,AVLCRY,1,1
37,WHU,MCI,10,73,WHUMCI,2,2
37,WOL,NOR,49,24,WOLNOR,1,1
37,WAT,LEI,32,41,WATLEI,1,5
37,LEE,BHA,33,41,LEEBHA,1,1
37,EVE,BRF,34,39,EVEBRF,2,3
37,NEW,ARS,21,54,NEWARS,2,0
37,SOU,LIV,7,80,SOULIV,1,2
37,EVE,CRY,32,39,EVECRY,3,2
37,AVL,BUR,48,25,AVLBUR,1,1
37,CHE,LEI,51,25,CHELEI,1,1
38,CHE,WAT,59,19,CHEWAT,2,1
38,LIV,WOL,83,4,LIVWOL,3,1
38,MCI,AVL,79,7,MCIAVL,3,2
38,ARS,EVE,59,17,ARSEVE,5,1
38,BUR,NEW,43,29,BURNEW,1,2
38,CRY,MUN,39,34,CRYMUN,1,0
38,LEI,SOU,43,32,LEISOU,4,1
38,BHA,WHU,41,32,BHAWHU,3,1
38,BRF,LEE,45,30,BRFLEE,1,2
38,NOR,TOT,7,79,NORTOT,0,5
