Name,NormScore,Return,Starts,Active Starts,% Active
Jakub Moder,11.4,-22.7,7,5,71.43
Jayson Molumby,9.95,0,0,0,0
Joel Veltman,13.24,20.7,25,13,52
Jose Izquierdo,18.35,0,0,0,0
Leandro Trossard,12.84,-8.15,30,24,80
Lewis Dunk,11.56,26.45,33,16,48.48
Neal Maupay,10.16,-11.05,29,10,34.48
Pascal Gross,14.22,41.95,27,25,92.59
Percy Tau,14.37,0,1,0,0
Reda Khadra,9.15,0,0,0,0
Robert Sanchez,10.63,-27,27,9,33.33
Solly March,14.87,17.55,19,15,78.95
Steven Alzate,8.91,-4.15,10,1,10
Tariq Lamptey,14.3,-10.95,11,9,81.82
Yves Bissouma,11.65,-28.55,35,21,60
Ashley Barnes,10.46,-11.5,15,2,13.33
Ashley Westwood,10.4,-13.25,38,8,21.05
Bailey Peacock-Farrell,5.62,0,4,0,0
Ben Mee,12.26,16.1,30,11,36.67
Charlie Taylor,11.79,-12.8,28,12,42.86
Chris Wood,11.43,17,32,9,28.12
Dale Stephens,12.61,0,3,0,0
Dwight McNeil,12.81,-6.7,34,18,52.94
Erik Pieters,10.45,-1.8,13,2,15.38
Jack Cork,8.39,0,15,0,0
James Tarkowski,11.7,-3.9,36,11,30.56
Jay Rodriguez,10.68,-3.65,12,1,8.33
Jimmy Dunne,13.87,-1.2,3,2,66.67
Joel Mumbongo,6.26,0,0,0,0
Johann Gudmundsson,10.55,-29.15,16,7,43.75
Josh Benson,7.83,0,2,0,0
Josh Bronwhill,10.87,-9.4,32,7,21.88
Kevin Long,8.57,0,7,0,0
Lewis Richardson,9.95,0,0,0,0
Matej Vydra,11.1,-21.8,15,6,40
Matthew Lowton,11.67,-16.7,34,14,41.18
Nick Pope,12.41,15.5,32,16,50
Phil Bardsley,10.22,0,3,0,0
Robbie Brady,11.75,-13.85,12,6,50
Will Norris,6.75,0,2,0,0
Andreas Christensen,11.74,18.2,15,8,53.33
Antonio Rudiger,13.47,21.15,19,18,94.74
Ben Chilwell,14.48,54.6,27,23,85.19
Billy Gilmour,11.14,-18.15,3,3,100
Callum Hudson-Odoi,15.4,-22.3,10,10,100
Cesar Azpilicueta,13.62,29.75,24,23,95.83
Christian Pulisic,13.64,-9.75,18,18,100
Edouard Mendy,10.71,-38,31,20,64.52
Emerson,19.3,0,0,0,0
Fikayo Tomori,16.75,0,0,0,0
Hakim Ziyech,15.47,-15.9,15,14,93.33
Jorginho,14.27,39.25,23,23,100
Kai Havertz,12.66,-16.55,18,16,88.89
Kepa Arrizabalaga,8.64,-3,6,2,33.33
Kurt Zouma,12.57,24.3,22,21,95.45
Marcos Alonso,14.5,25.35,11,11,100
Mason Mount,15.57,70.2,32,30,93.75
Mateo Kovacic,11.6,-34,21,15,71.43
Ngolo Kante,12.96,-12.3,24,19,79.17
Olivier Giroud,13.26,-19.2,8,8,100
Reece James,14.39,37.75,25,24,96
Tammy Abraham,12.25,7.55,12,11,91.67
Thiago Silva,12.06,-14.8,23,20,86.96
Timo Werner,12.42,7.15,29,27,93.1
Willy Caballero,2,-10,1,1,100
Andros Townsend,15.39,48.5,25,21,84
Cheikhou Kouyate,8.17,0,35,0,0
Christian Benteke,17.08,34.2,21,17,80.95
Eberechi Eze,14.24,49.05,29,17,58.62
Gary Cahill,9.07,-4.1,20,1,5
Jack Butland,7,0,1,0,0
Jairo Riedewald,10.48,-12.7,19,5,26.32
James McArthur,12.18,-0.35,17,6,35.29
James McCarthy,10.36,0,10,0,0
James Tomkins,8.79,0,6,0,0
Jean-Philippe Mateta,12.55,0,2,0,0
Jeffrey Schlupp,14.05,-24.6,15,9,60
Joel Ward,10.53,-4.2,25,3,12
Jordan Ayew,11.99,-26.05,23,7,30.43
Luka Milivojevic,10.97,-21.4,27,5,18.52
Mamadou Sakho,8.84,0,3,0,0
Martin Kelly,15.6,0,0,0,0
Michy Batshuayi,12.74,-18.9,7,3,42.86
Nathaniel Clyne,8.78,0,13,0,0
Patrick van Aanholt,11.19,1.2,20,1,5
Scott Dann,9.58,0,15,0,0
Tyrick Mitchell,10.87,-8.2,19,1,5.26
Vicente Guaita,9.57,3.5,37,6,16.22
Wilfried Zaha,11.76,-6.4,29,11,37.93
Abdoulaye Doucoure,11.56,-36.7,29,12,41.38
Alex Iwobi,12.18,-24.15,17,13,76.47
Allan,10.23,-8.8,23,3,13.04
Andre Gomes,11.53,-6.45,17,5,29.41
Anthony Gordon,15.68,-4.8,1,1,100
Ben Godfrey,11.54,-4.3,29,11,37.93
Bernard,12.54,0.15,3,3,100
Cenk Tosun,7.35,0,0,0,0
Dominic Calvert-Lewin,14.27,25.4,32,24,75
Fabian Delph,12.1,0,2,0,0
Gylfi Sigurdsson,13.63,-5.3,24,19,79.17
James Rodriguez,15.86,27.1,21,16,76.19
Jean-Philippe Gbamin,11.05,0,0,0,0
Joao Virginia,14.25,0,0,0,0
Jonjoe Kenny,10.88,0,1,0,0
Jordan Pickford,11.03,-24,31,10,32.26
Joshua King,12.85,0,0,0,0
Lucas Digne,13.68,26.6,30,22,73.33
Mason Holgate,11.23,-12.35,26,10,38.46
Michael Keane,11.67,-9.9,33,17,51.52
Moise Kean,11.3,0,0,0,0
Nathan Broadhead,18.35,0,0,0,0
Niels Nkounkou,11.28,-6.6,1,1,100
Richarlison,12.43,36.7,33,19,57.58
Robin Olsen,10.14,0,7,0,0
Seamus Coleman,13.68,17.85,18,13,72.22
Tom Davies,12.26,-17.25,17,10,58.82
Yerry Mina,11.45,-14.7,23,11,47.83
Aboubakar Kamara,12.45,0,2,0,0
Ademola Lookman,12.59,1.45,31,17,54.84
Aleksandar Mitrovic,12.04,-33.5,13,9,69.23
Alphonse Areola,10.64,-29,36,7,19.44
Andre-Frank Zambo Anguissa,14.76,23.05,29,24,82.76
Antonee Robinson,12.58,-4.85,24,13,54.17
Bobby De Cordova-Reid,9.91,-20.6,28,5,17.86
Denis Odoi,7.17,0,3,0,0
Fabio Carvalho,13.94,-1,3,1,33.33
Harrison Reed,13,-19.3,26,14,53.85
Ivan Cavaleiro,12.34,-26.15,27,11,40.74
Joachim Andersen,11.35,1.25,30,10,33.33
Joe Bryan,12.54,-18.1,7,4,57.14
Josh Maja,11.53,-18.15,9,4,44.44
Josh Onomah,9.75,-5.5,4,1,25
Kenny Tete,14.37,-15.55,18,11,61.11
Marek Rodak,6.25,0,2,0,0
Mario Lemina,13.3,-48.85,19,12,63.16
Maxime Le Marchand,4.6,0,1,0,0
Michael Hector,4.79,0,3,0,0
Neeskens Kebano,9.87,0,1,0,0
Ola Aina,10.96,-4.4,31,6,19.35
Ruben Loftus-Cheek,10.04,-9.5,22,2,9.09
Terence Kongolo,9.2,0,1,0,0
Tim Ream,6.72,0,7,0,0
Tom Cairney,11.86,-9.5,9,3,33.33
Tosin Adarabioyo,10.12,-11.05,33,8,24.24
Tyrese Francois,6.65,0,0,0,0
Diego Llorente,13.23,-9.9,14,7,50
Ezgjan Alioski,11.29,-31.3,29,13,44.83
Gaetano Berardi,16.73,2.45,1,1,100
Helder Costa,12.37,-24.25,13,6,46.15
Ian Poveda-Ocampo,12.7,0,0,0,0
Illan Meslier,12.87,21,35,16,45.71
Jack Harrison,14.87,19.1,34,29,85.29
Jamie Shackleton,11.99,-8.4,3,1,33.33
Kalvin Phillips,11.88,-11.15,28,12,42.86
Kiko Casilla,11.33,-2.5,3,1,33.33
Leif Davis,6.45,0,0,0,0
Liam Cooper,12.99,11.65,25,14,56
Luke Ayling,12.51,-4.8,38,19,50
Mateusz Klich,11.85,-5.75,28,13,46.43
Niall Huggins,5.25,0,0,0,0
Pablo Hernandez,14.41,0,3,0,0
Pascal Struijk,12.22,-3.7,22,8,36.36
Patrick Bamford,14.5,4.35,37,26,70.27
Raphinha,16.56,91.35,26,22,84.62
Robin Koch,12.37,-13.4,13,5,38.46
Rodrigo,17.17,-6.75,14,12,85.71
Stuart Dallas,11.61,-15.25,38,15,39.47
Tyler Roberts,12.24,-22.2,14,6,42.86
Ayoze Perez,13.38,-45.15,15,14,93.33
Caglar Soyuncu,10.64,-14.45,19,13,68.42
Cengiz Under,17.44,-3.25,1,1,100
Christian Fuchs,11.91,-16.35,8,7,87.5
Daniel Amartey,10.21,-8,8,2,25
Demarai Gray,11.95,0,0,0,0
Dennis Praet,13.72,-33.45,10,10,100
Hamza Choudhury,11.84,-15.25,4,3,75
Harvey Barnes,14.66,45.3,22,20,90.91
Islam Slimani,12.9,0,0,0,0
James Justin,13.29,21.8,23,17,73.91
James Maddison,15.05,26.9,24,23,95.83
Jamie Vardy,13.85,72.6,31,23,74.19
Jonny Evans,11.7,13.65,28,15,53.57
Kasper Schmeichel,9.32,-37.5,38,12,31.58
Kelechi Iheanacho,14.74,74.35,16,10,62.5
Luke Thomas,10.71,-35.35,12,8,66.67
Marc Albrighton,15.24,4.3,17,16,94.12
Nampalys Mendy,8.92,-30.8,15,5,33.33
Ricardo Pereira,11.87,-16.25,10,8,80
Sidnei Tavares,10.75,0,1,0,0
Thakgalo Leshabela,9.95,0,0,0,0
Timothy Castagne,12.21,2.45,27,22,81.48
Wes Morgan,9.35,0,0,0,0
Wesley Fofana,12.94,-10.75,27,22,81.48
Wilfred Ndidi,15.05,40.85,25,24,96
Youri Tielemans,13.14,29.95,37,30,81.08
Adrian,11.17,2,3,2,66.67
Alex Oxlade-Chamberlain,13.09,-14.75,2,2,100
Alisson,10.64,-37.5,33,18,54.55
Andrew Robertson,13.32,44.4,38,31,81.58
Caoimhin Kelleher,12.5,1,2,2,100
Curtis Jones,12.97,-39.15,13,12,92.31
Diogo Jota,18.3,16.05,12,12,100
Divock Origi,10.54,-10.8,2,2,100
Fabinho,9.72,-58.3,28,16,57.14
Georginio Wijnaldum,10.02,-99.4,34,23,67.65
James Milner,12.41,-26.65,11,11,100
Joel Matip,14.5,3.6,9,7,77.78
Jordan Henderson,12,-25.6,20,15,75
Joseph Gomez,5.56,-15.1,6,3,50
Konstantinos Tsimikas,9.32,0,0,0,0
Mohamed Salah,15.58,60.95,34,29,85.29
Naby Keita,12,-29.35,7,7,100
Nathaniel Phillips,13.65,34.1,15,15,100
Neco Williams,14.17,-6.7,3,3,100
Ozan Kabak,10.49,-20.15,9,7,77.78
Rhys Williams,10.99,-4.25,7,6,85.71
Roberto Firmino,14.21,6.6,33,30,90.91
Sadio Mane,16.79,131.65,31,31,100
Thiago,13.36,-6.7,20,20,100
Trent Alexander-Arnold,15.66,111.2,34,33,97.06
Virgil van Dijk,9.66,-17.7,5,5,100
Xherdan Shaqiri,13.73,-16.25,5,5,100
Aymeric Laporte,10.52,-18.95,14,12,85.71
Benjamin Mendy,13.05,3.55,11,11,100
Bernardo Silva,12.47,-6.25,24,21,87.5
Ederson,10.89,-37.5,36,31,86.11
Eric Garcia,7.31,-8.5,3,2,66.67
Fernandinho,13.49,40.6,12,11,91.67
Ferran Torres,12.88,8.45,15,14,93.33
Gabriel Jesus,14.07,12.75,22,22,100
Ilkay Gundogan,18.09,83.9,23,23,100
Joao Cancelo,16.89,121.55,27,27,100
John Stones,13.85,44.2,22,21,95.45
Kevin De Bruyne,19.4,148.55,23,23,100
Kyle Walker,11.48,-22.9,22,21,95.45
Liam Delap,0,0,0,0,0
Nathan Ake,8.92,-20,9,7,77.78
Oleksandr Zinchenko,12.84,9.8,15,15,100
Phil Foden,17.55,84.5,17,17,100
Raheem Sterling,13.21,30.4,28,27,96.43
Riyad Mahrez,16.53,66.9,23,23,100
Rodri,12.45,-1.4,31,29,93.55
Ruben Dias,11.8,-1.25,32,28,87.5
Scott Carson,10,0,1,0,0
Sergio Aguero,14.72,-21.75,7,7,100
Zack Steffen,4.5,0,1,0,0
Aaron Wan-Bissaka,14.57,75.5,34,32,94.12
Alex Telles,13.23,-3.05,8,8,100
Amad Diallo,14.25,0.35,2,2,100
Anthony Elanga,14.68,1.6,2,2,100
Anthony Martial,12.75,-40.9,17,13,76.47
Axel Tuanzebe,7.29,-4.4,4,1,25
Brandon Williams,8.78,-5.15,2,1,50
Bruno Fernandes,18.53,182.1,35,34,97.14
Daniel James,12.17,-22.95,11,7,63.64
David de Gea,9.88,-36,26,12,46.15
Dean Henderson,11.21,-8.5,12,9,75
Donny van de Beek,13.69,-14.75,4,4,100
Edinson Cavani,15.4,-33.55,13,11,84.62
Eric Bailly,10.27,-16.85,10,9,90
Fred,12.2,-36.5,27,22,81.48
Hannibal Mejbri,15.75,0,0,0,0
Harry Maguire,12.32,-21.9,34,28,82.35
Juan Mata,13.98,-14.05,6,6,100
Luke Shaw,15.24,35.6,30,25,83.33
Marcus Rashford,15.13,55,33,33,100
Mason Greenwood,13.36,-21.9,21,15,71.43
Nemanja Matic,14.07,-14.2,12,12,100
Odion Ighalo,0,0,0,0,0
Paul Pogba,14.71,35.25,21,21,100
Scott McTominay,12.6,-6.55,24,20,83.33
Shola Shoretire,13.27,0,0,0,0
Timothy Fosu-Mensah,11.95,-3.4,1,1,100
Victor Lindelof,10.38,-36.65,29,15,51.72
William Fish,9.95,0,0,0,0
Allan Saint-Maximin,15.61,7.85,19,19,100
Andy Carroll,14.15,-29.3,4,4,100
Callum Wilson,12.89,-1.9,23,8,34.78
Ciaran Clark,9.23,-7.25,21,2,9.52
Deandre Yedlin,9.42,0,5,0,0
Dwight Gayle,11.76,0,4,0,0
Elliot Anderson,9.15,0,0,0,0
Emil Krafth,11.22,-6.25,14,5,35.71
Fabian Schar,9.81,-9.15,13,1,7.69
Federico Fernandez,9.27,-1.3,24,2,8.33
Isaac Hayden,9.99,0,22,0,0
Jacob Murphy,14.87,-5.45,17,8,47.06
Jamaal Lascelles,7.97,0,19,0,0
Jamal Lewis,8.16,-9.4,20,1,5
Javier Manquillo,10.44,-16,10,2,20
Jeff Hendrick,9.67,-14.05,17,2,11.76
Joelinton,12.81,-25.4,23,9,39.13
Jonjo Shelvey,10.5,-16.95,29,6,20.69
Joseph Willock,16.26,34.7,13,10,76.92
Karl Darlow,10.76,2,25,6,24
Martin Dubravka,10.77,2,13,3,23.08
Matt Ritchie,10.51,-16.95,15,4,26.67
Matthew Longstaff,8.73,0,4,0,0
Miguel Almiron,12.68,-1.35,28,14,50
Paul Dummett,9.72,0,14,0,0
Ryan Fraser,13.19,-24.3,9,6,66.67
Sean Longstaff,9.19,0,15,0,0
Aaron Ramsdale,10.54,9.5,38,2,5.26
Antwoine Hackford,9.4,0,0,0,0
Ben Osborn,10.22,-4,17,2,11.76
Billy Sharp,10.62,-5.75,7,2,28.57
Chris Basham,9.95,2.2,31,5,16.13
Daniel Jebbison,9.44,-8.5,3,1,33.33
David McGoldrick,11.19,-33.3,28,8,28.57
Enda Stevens,8.57,-1.15,30,2,6.67
Ethan Ampadu,11.11,-12.75,23,4,17.39
Femi Seriki,9.95,0,0,0,0
George Baldock,8.27,0,32,0,0
Iliman Ndiaye,15,0,0,0,0
Jack OConnell,7.35,0,2,0,0
Jack Robinson,9.91,0,9,0,0
Jayden Bogle,11.79,-2.05,12,5,41.67
John Egan,8.69,0,30,0,0
John Fleck,10.06,-7.95,29,2,6.9
John Lundstram,8.66,0,23,0,0
Kean Bryan,11.25,-11.75,12,2,16.67
Lys Mousset,6.41,0,2,0,0
Max Lowe,9.19,-11,7,1,14.29
Oliver Burke,10.1,-14.75,14,2,14.29
Oliver McBurnie,11.12,5.65,12,2,16.67
Oliver Norwood,11.08,-17.05,26,4,15.38
Phil Jagielka,8.96,0,6,0,0
Rhian Brewster,9.49,0,12,0,0
Sander Berge,9.89,-12.95,13,4,30.77
Alex McCarthy,9.55,2,30,6,20
Alexandre Jankewitz,9.18,0,1,0,0
Allan Tchaptchet,0,0,0,0,0
Caleb Watts,9.67,0,0,0,0
Che Adams,12.84,5,30,16,53.33
Daniel NLundulu,9.7,0,0,0,0
Danny Ings,13.52,19.95,26,18,69.23
Fraser Forster,10.69,-6,8,2,25
Ibrahima Diallo,11.36,-20.05,10,6,60
Jack Stephens,10.45,4.55,17,5,29.41
Jake Vokins,6,0,1,0,0
James Ward-Prowse,13.91,30.55,38,26,68.42
Jan Bednarek,11.1,22.85,36,17,47.22
Jannik Vestergaard,11.04,17.5,29,12,41.38
Kayne Ramsay,0.8,0,1,0,0
Kyle Walker-Peters,12.35,4.95,30,19,63.33
Michael Obafemi,7.96,0,0,0,0
Mohammed Salisu,11.55,-1.5,8,3,37.5
Moussa Djenepo,11.96,-23.9,15,10,66.67
Nathan Redmond,12.22,-24.25,17,7,41.18
Nathan Tella,11.6,-5.25,7,1,14.29
Oriol Romeu,11.55,5.3,20,10,50
Ryan Bertrand,8.9,0,29,0,0
Shane Long,9.83,0,1,0,0
Stuart Armstrong,13.04,5.2,32,22,68.75
Takumi Minamino,12.17,-6.05,11,4,36.36
Theo Walcott,11.71,-30.45,20,10,50
William Smallbone,9.92,0,2,0,0
Yan Valery,10.95,0,1,0,0
Ben Davies,11.08,7.15,14,4,28.57
Carlos Vinicius,11.38,-7.55,3,1,33.33
Dane Scarlett,9.95,0,0,0,0
Davinson Sanchez,9.47,0.55,17,6,35.29
Dele Alli,13.9,-9.2,7,7,100
Eric Dier,9.81,-19.25,28,6,21.43
Erik Lamela,14.31,-18.25,5,3,60
Gareth Bale,23.2,66.55,10,10,100
Giovani Lo Celso,13.33,-40.35,11,10,90.91
Harry Kane,18.43,207.65,35,35,100
Harry Winks,8.84,0,9,0,0
Hugo Lloris,10.5,-29,38,17,44.74
Japhet Tanganga,10.17,-8.3,6,3,50
Joe Rodon,11.3,2.3,8,2,25
Lucas Moura,14.36,13.95,14,14,100
Matt Doherty,12.69,-4.3,13,12,92.31
Moussa Sissoko,9.42,-12.65,15,5,33.33
Pierre-Emile Hojbjerg,10.52,-37.45,38,18,47.37
Serge Aurier,15.55,50.75,19,18,94.74
Sergio Reguilon,12.68,-12.5,26,23,88.46
Son Heung-Min,15.81,105.55,36,31,86.11
Steven Bergwijn,11.09,-11.75,13,5,38.46
Tanguy Ndombele,13.54,-37.35,28,22,78.57
Toby Alderweireld,10.9,0.75,25,11,44
Ahmed Hegazi,15.95,0,1,0,0
Ainsley Maitland-Niles,10.74,5.3,19,3,15.79
Branislav Ivanovic,9.3,0,8,0,0
Callum Robinson,11.6,-26.9,20,6,30
Charlie Austin,10.73,0,0,0,0
Conor Gallagher,10.51,-9,28,3,10.71
Conor Townsend,11.89,-9.3,25,4,16
Dara OShea,9.88,8,25,2,8
Darnell Furlong,10.4,4.8,32,2,6.25
David Button,10.5,0,1,0,0
Filip Krovinovic,10.73,0,5,0,0
Grady Diangana,11.78,-12.9,15,4,26.67
Hal Robson-Kanu,9.24,0,2,0,0
Jake Livermore,7.5,0,15,0,0
Kamil Grosicki,12.95,0,2,0,0
Karlan Grant,7.91,0,14,0,0
Kieran Gibbs,8.09,0,9,0,0
Kyle Bartley,11.02,1.15,28,6,21.43
Kyle Edwards,10.38,0,1,0,0
Lee Peltier,6.32,0,3,0,0
Matheus Pereira,15.66,16.95,30,19,63.33
Matt Phillips,10.97,-21.95,20,5,25
Mbaye Diagne,11.46,-7.1,14,3,21.43
Okay Yokuslu,13.64,0.3,15,11,73.33
Rakeem Harper,17.88,0,0,0,0
Robert Snodgrass,9.55,0,6,0,0
Romaine Sawyers,8.08,0,17,0,0
Sam Field,17.62,0,0,0,0
Sam Johnstone,11.58,9,37,9,24.32
Semi Ajayi,8.54,-6.95,31,1,3.23
Aaron Cresswell,12.52,11.25,36,19,52.78
Andriy Yarmolenko,11.42,0,1,0,0
Angelo Ogbonna,10.42,-7.45,28,4,14.29
Arthur Masuaku,14.14,-5.05,12,9,75
Ben Johnson,11.08,4.05,5,2,40
Craig Dawson,10.9,6.95,22,11,50
Darren Randolph,9.83,0,3,0,0
Declan Rice,11.68,-7.1,32,14,43.75
Fabian Balbuena,10.44,-5.3,13,6,46.15
Felipe Anderson,14.15,0,0,0,0
Issa Diop,9.45,-7.9,15,1,6.67
Jarrod Bowen,12.62,-44.8,30,18,60
Jesse Lingard,14.77,27.5,16,12,75
Lukasz Fabianski,10.16,-14,35,11,31.43
Manuel Lanzini,15.56,-29.35,5,5,100
Mark Noble,9.84,-7.5,8,3,37.5
Michail Antonio,14.69,9.1,24,22,91.67
Pablo Fornals,13.24,1.65,31,18,58.06
Ryan Fredericks,14.22,-8.45,6,3,50
Said Benrahma,15.46,-8.95,14,12,85.71
Sebastien Haller,14.23,-3.85,10,8,80
Tomas Soucek,13.33,57.4,38,24,63.16
Vladimir Coufal,12.78,22.75,34,22,64.71
Adama Traore,14.31,22.15,28,23,82.14
Conor Coady,8.79,-12.25,37,4,10.81
Daniel Podence,12.46,-10.15,22,15,68.18
Fabio Silva,11.66,-3.05,11,4,36.36
Joao Moutinho,12.22,-15.55,28,14,50
John Ruddy,9.22,0,1,0,0
Jonny,10.5,-14.75,7,2,28.57
Ki-Jana Hoever,11.95,-0.3,5,2,40
Leander Dendoncker,9.84,-15.25,28,6,21.43
Marcal,11.67,-10.85,7,2,28.57
Maximilian Kilman,11.28,-21.2,14,5,35.71
Morgan Gibbs-White,13.35,-10.75,4,2,50
Nelson Semedo,13.04,18.6,34,21,61.76
Oskar Buur,5.25,0,0,0,0
Owen Otasowie,15.96,-15.35,2,2,100
Patrick Cutrone,7.25,0,0,0,0
Pedro Neto,15.43,49.5,30,30,100
Raul Jimenez,11.92,-1.35,10,9,90
Rayan Ait-Nouri,12.12,-16.55,16,11,68.75
Romain Saiss,10.83,-20.45,27,8,29.63
Ruben Neves,13.45,3.25,31,23,74.19
Ruben Vinagre,8.3,-1.4,1,1,100
Rui Patricio,9.59,-9.5,37,12,32.43
Theo Corbeanu,23.95,0,0,0,0
Vitinha,13.86,-19.25,5,4,80
Willian Jose,8.31,-10.95,12,3,25
Willy Boly,11.11,-21,21,11,52.38
