Name,NormScore,Return,Starts,Active Starts,% Active
Tanguy Ndombele,11.28,-13.75,6,5,83.33
Adam Masina,11.36,0,13,0,0
Ashley Fletcher,14.78,0,0,0,0
Ben Foster,8.69,0,26,0,0
Christian Kabasele,8.56,0,12,0,0
Craig Cathcart,8.93,-6.2,27,1,3.7
Cucho Hernandez,14.43,-20.95,11,11,100
Dan Gosling,21.24,0,2,0,0
Daniel Bachmann,8.79,-10,12,1,8.33
Danny Rose,8.26,0,7,0,0
Edo Kayembe,11.56,-9.5,9,3,33.33
Emmanuel Dennis,15.6,1.45,30,17,56.67
Francisco Femenia Far,10.56,-19.45,26,6,23.08
Francisco Sierralta,7.64,0,5,0,0
Hassane Kamara,14.23,-0.5,18,13,72.22
Imran Louza,13.08,-10.4,17,6,35.29
Ismaila Sarr,11.35,12.55,21,10,47.62
Jeremy Ngakia,12.15,0.5,9,3,33.33
Joao Pedro,14.92,-31.3,15,11,73.33
Joshua King,12.38,-23.75,27,12,44.44
Juraj Kucka,12.3,-15.55,22,6,27.27
Ken Sema,11.34,-0.4,7,1,14.29
Moussa Sissoko,10.31,-9.7,36,3,8.33
Nicolas Nkoulou,8.43,0,2,0,0
Ozan Tufan,9.55,0,4,0,0
Peter Etebo,9.86,0,4,0,0
Samir,9.88,-8.8,19,2,10.53
Samuel Kalu,12.61,-4.25,2,1,50
Tom Cleverley,10.73,-17.65,20,3,15
Troy Deeney,14.72,0,0,0,0
William Troost-Ekong,6.43,0,15,0,0
Aaron Cresswell,11.63,12.55,31,21,67.74
Alex Kral,15.6,0,0,0,0
Alphonse Areola,6.5,0,1,0,0
Andriy Yarmolenko,12.96,0,1,0,0
Angelo Ogbonna,9.58,0.55,11,1,9.09
Arthur Masuaku,16.13,-7.9,6,6,100
Ben Johnson,11.62,3.2,16,8,50
Craig Dawson,11.05,-29.6,30,11,36.67
Daniel Chesters,9.95,0,0,0,0
Declan Rice,12.18,6.1,35,23,65.71
Harrison Ashby,16.7,0,0,0,0
Issa Diop,9.87,-4,10,1,10
Jarrod Bowen,15.31,94.45,34,31,91.18
Kurt Zouma,9.68,-32.2,24,8,33.33
Lukasz Fabianski,10.2,-21,37,9,24.32
Manuel Lanzini,13.28,-23.3,19,12,63.16
Mark Noble,11.06,0,3,0,0
Michail Antonio,11.98,36.45,34,18,52.94
Nikola Vlasic,14.21,-23.15,6,4,66.67
Pablo Fornals,12.13,-39.15,32,20,62.5
Ryan Fredericks,6.62,0,3,0,0
Said Benrahma,14.71,10.5,26,22,84.62
Sonny Perkins,12.5,0,0,0,0
Tomas Soucek,11.4,-16.7,34,19,55.88
Vladimir Coufal,11.33,-13.15,25,17,68
Adama Traore,14.52,34.25,10,8,80
Chem Campbell,12.5,0,0,0,0
Chiquinho,23.22,0.5,1,1,100
Conor Coady,9.79,-17.75,38,4,10.53
Daniel Podence,14.91,5.75,15,12,80
Fabio Silva,11.2,-8.15,6,1,16.67
Hwang Hee-Chan,10.77,-17.1,20,8,40
Joao Moutinho,11.13,-8.85,34,13,38.24
John Ruddy,11.25,0,1,0,0
Jonny,12.15,15.35,10,6,60
Jose Sa,11.45,-8,37,14,37.84
Ki-Jana Hoever,10.64,-17.4,4,2,50
Leander Dendoncker,10.02,-22.65,21,6,28.57
Luke Cundle,9,0,2,0,0
Marcal,13.23,-1.65,17,11,64.71
Maximilian Kilman,11.74,12.3,30,13,43.33
Morgan Gibbs-White,6.25,0,0,0,0
Nelson Semedo,13.61,6.65,25,16,64
Pedro Neto,14.41,-7.65,5,2,40
Raul Jimenez,10.13,-8.7,30,10,33.33
Rayan Ait-Nouri,14.55,46.35,20,14,70
Romain Saiss,11.92,0.6,31,17,54.84
Ruben Neves,12.3,-12.5,31,21,67.74
Toti,9.79,0,4,0,0
Trincao,15.04,-32.5,16,14,87.5
Willy Boly,9.55,0,10,2,20
