,Name,NormScore,Return,Starts,Active Starts,% Active, Expected Pts ,Ranker
334,Arnaut Danjuma Groeneveld,11.96,-10.65,6,4,66.67,6.23,1.965789474
343,Johann Gudmundsson,13.12,-11.55,6,4,66.67,6.08,1.918421053
468,Jefferson Lerma,10.33,-24.8,31,7,22.58,1.91,1.909677419
350,Conor Coady,8.19,-12.15,38,7,18.42,1.89,1.890789474
352,Christian Benteke,12.49,-12.3,13,4,30.77,2.75,1.878947368
323,Jack Stephens,9.83,-9.35,27,5,18.52,1.88,1.875925926
354,James Tomkins,9.27,-12.6,18,4,22.22,1.97,1.863157895
297,Nathan Ake,9.39,-6.95,29,5,17.24,1.83,1.829310345
369,Steven Alzate,12.12,-14,12,4,33.33,2.83,1.789473684
332,Dale Stephens,10.99,-10.6,28,5,17.86,1.76,1.764285714
380,Jannik Vestergaard,9.92,-14.8,17,4,23.53,1.95,1.747368421
384,Sokratis,9.02,-15.45,19,4,21.05,1.71,1.713157895
391,Ashley Young,10.08,-15.95,10,4,40,3.21,1.686842105
398,Bernardo,10.13,-16.3,7,4,57.14,4.53,1.668421053
293,Davy Propper,10.54,-6.75,32,5,15.62,1.66,1.6640625
294,Leander Dendoncker,9.61,-6.75,32,5,15.62,1.66,1.6640625
271,Neco Williams,15.94,-4.45,3,3,100,10.52,1.660526316
101,Martin Montoya,10.34,2.1,23,3,13.04,1.66,1.656521739
439,Aaron Cresswell,9.34,-20.75,31,6,19.35,1.65,1.653225806
483,Ben Davies,9.91,-29.4,16,5,31.25,1.91,1.610526316
329,Ryan Bertrand,9.49,-10.45,31,5,16.13,1.6,1.598387097
283,Anthony Gordon,15.04,-5.65,4,3,75,7.59,1.597368421
285,Wes Morgan,10.5,-5.9,4,3,75,7.53,1.584210526
289,Adam Lallana,12.5,-6.15,3,3,100,9.95,1.571052632
104,Jack OConnell,10.57,1.7,32,4,12.5,1.55,1.553125
291,Fabian Delph,10.18,-6.55,13,3,23.08,2.27,1.55
424,Christian Atsu,12.6,-18.85,6,4,66.67,4.86,1.534210526
427,Ashley Barnes,9.21,-19.15,17,4,23.53,1.7,1.518421053
394,Cheikhou Kouyate,10.53,-16.05,29,5,17.24,1.52,1.515517241
86,Sean Longstaff,11.33,4.45,14,2,14.29,2.03,1.497368421
385,Jeff Hendrick,9.13,-15.55,22,4,18.18,1.47,1.475
441,Will Hughes,10.74,-21.05,27,5,18.52,1.44,1.442592593
317,Ciaran Clark,10.25,-8.75,14,3,21.43,1.95,1.434210526
440,Marvelous Nakamba,10.66,-21,19,4,21.05,1.42,1.421052632
500,Toby Alderweireld,9.13,-37.2,33,7,21.21,1.42,1.418181818
313,Alexander Tettey,9.35,-8.6,28,4,14.29,1.41,1.407142857
419,Granit Xhaka,9.16,-17.9,30,5,16.67,1.4,1.403333333
445,Robbie Brady,17.2,-21.6,5,4,80,5.28,1.389473684
98,Morgan Schneiderlin,9.33,2.35,12,2,16.67,2.2,1.386842105
327,Steve Cook,7.88,-10.4,28,4,14.29,1.34,1.342857143
335,Shane Duffy,10.96,-10.8,12,3,25,2.1,1.326315789
337,Japhet Tanganga,11.78,-10.95,6,3,50,4.18,1.318421053
455,David Brooks,12.58,-23.25,8,4,50,3.09,1.302631579
346,Nampalys Mendy,13.94,-11.7,4,3,75,6.08,1.278947368
461,Jesse Lingard,11.05,-23.75,9,4,44.44,2.69,1.276315789
109,Pepe Reina,10.75,0.25,12,2,16.67,2.02,1.276315789
464,Aaron Connolly,8.99,-24.05,14,4,28.57,1.71,1.260526316
415,Adam Smith,8.59,-17.8,24,4,16.67,1.26,1.258333333
465,Dominic Solanke,10.59,-24.15,17,4,23.53,1.4,1.255263158
466,Matej Vydra,10.92,-24.2,7,4,57.14,3.4,1.252631579
476,Davinson Sanchez,8.74,-26.2,27,5,18.52,1.25,1.251851852
363,Willy Caballero,8.9,-13.25,5,3,60,4.55,1.197368421
244,Angus Gunn,10.02,-1.5,10,2,20,2.25,1.184210526
371,Junior Stanislas,14.49,-14,7,3,42.86,3.14,1.157894737
370,Michael Obafemi,15.14,-14,8,3,37.5,2.75,1.157894737
331,Dan Burn,10.57,-10.5,33,4,12.12,1.14,1.136363636
366,Danny Rose,8.87,-13.65,20,3,15,1.12,1.1175
254,Angelo Ogbonna,8.84,-2.8,31,3,9.68,1.07,1.070967742
262,Xherdan Shaqiri,13.61,-3.75,2,2,100,10.13,1.065789474
263,Demarai Gray,15.39,-3.9,3,2,66.67,6.7,1.057894737
266,Matthew Lowton,10.81,-4,17,2,11.76,1.18,1.052631579
77,Florian Lejeune,17.04,7.85,4,1,25,4.96,1.044736842
406,Kenny McLean,9.98,-17.1,32,4,12.5,0.97,0.965625
290,Claudio Bravo,10.12,-6.25,3,2,66.67,5.92,0.934210526
296,Billy Gilmour,13.25,-6.8,2,2,100,8.6,0.905263158
386,Tom Davies,9.95,-15.6,23,3,13.04,0.89,0.886956522
442,Adam Webster,10.09,-21.1,31,4,12.9,0.87,0.867741935
306,Nabil Bentaleb,11.65,-7.55,8,2,25,2.06,0.865789474
256,Gary Cahill,9.18,-2.95,25,2,8,0.84,0.842
93,Tariq Lamptey,12.7,3.05,7,1,14.29,2.15,0.792105263
96,Pablo Mari,12.27,2.7,2,1,50,7.35,0.773684211
325,David Martin,12.15,-9.5,4,2,50,3.63,0.763157895
338,Keinan Davis,11.31,-11,4,2,50,3.25,0.684210526
456,Lewis Cook,10.23,-23.45,14,3,21.43,0.9,0.660526316
457,Tom Cleverley,10.01,-23.5,11,3,27.27,1.14,0.657894737
108,Ondrej Duda,12.36,0.35,9,1,11.11,1.37,0.65
94,Ezri Konsa Ngoyo,10.28,3.05,24,1,4.17,0.63,0.627083333
349,Kouassi Ryan Sessegnon,9.25,-12.1,4,2,50,2.98,0.626315789
355,Eddie Nketiah,10.26,-12.65,7,2,28.57,1.62,0.597368421
361,Glenn Murray,8.7,-13.2,7,2,28.57,1.54,0.568421053
242,Phil Jones,12.4,-1.45,2,1,50,5.28,0.555263158
243,Paul Dummett,10.04,-1.45,14,1,7.14,0.75,0.555263158
245,Yan Valery,10.54,-1.5,10,1,10,1.05,0.552631579
425,Joelinton,10.39,-19.1,32,3,9.38,0.53,0.528125
372,Ruben Loftus-Cheek,11.9,-14,2,2,100,5,0.526315789
249,Nacho Monreal,10.02,-2.05,3,1,33.33,3.32,0.523684211
434,Issa Diop,8.67,-20.1,31,3,9.68,0.51,0.512903226
375,Alireza Jahanbakhsh,15.08,-14.5,3,2,66.67,3.17,0.5
379,Takumi Minamino,10.64,-14.65,2,2,100,4.68,0.492105263
255,Valentino Lazaro,11.52,-2.9,4,1,25,2.28,0.478947368
257,Curtis Jones,20.62,-3.25,1,1,100,8.75,0.460526316
358,Jamal Lewis,8.38,-12.75,25,2,8,0.45,0.45
387,Billy Sharp,9.64,-15.75,10,2,20,0.83,0.434210526
99,Tyone Mings,8.83,2.25,33,1,3.03,0.43,0.431818182
267,Jairo Riedewald,12.12,-4,7,1,14.29,1.14,0.421052632
268,Kevin Long,10.51,-4.15,6,1,16.67,1.31,0.413157895
400,Jota,11.18,-16.6,4,2,50,1.85,0.389473684
274,Fabian Balbuena,10.16,-4.75,13,1,7.69,0.56,0.381578947
275,Emil Krafth,9.69,-4.95,11,1,9.09,0.64,0.371052632
277,Cenk Tosun,11.36,-5,4,1,25,1.75,0.368421053
279,William Smallbone,10.93,-5.25,4,1,25,1.69,0.355263158
412,Andre Gray,12.94,-17.5,7,2,28.57,0.93,0.342105263
284,Mark Travers,6.25,-5.75,1,1,100,6.25,0.328947368
288,Josip Drmic,9.43,-6.05,5,1,20,1.19,0.313157895
295,Michy Batshuayi,13.8,-6.75,1,1,100,5.25,0.276315789
303,Patrick Cutrone,16.19,-7.25,3,1,33.33,1.58,0.25
307,Juan Foyth,15.36,-7.75,1,1,100,4.25,0.223684211
310,Jose Holebas,9.15,-8.15,11,1,9.09,0.35,0.202631579
311,Muhamed Besic,13.6,-8.3,2,1,50,1.85,0.194736842
308,Wesley,8.3,-8,21,1,4.76,0.19,0.19047619
326,Kevin Danso,12.07,-9.8,3,1,33.33,0.73,0.115789474
342,Timothy Fosu-Mensah,9.8,-11.4,2,1,50,0.3,0.031578947
356,Simon Francis,10.19,-12.7,10,1,10,-0.07,-0.036842105
376,Florin Andone,13.5,-14.5,1,1,100,-2.5,-0.131578947
