GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE,HOME_SCORE,AWAY_SCORE
30,TOT,MUN,30,45,TOTMUN,,
30,WAT,LEI,36,37,WATLEI,,
30,BHA,ARS,39,35,BHAARS,,
30,WHU,WOL,30,44,WHUWOL,,
30,BOU,CRY,46,28,BOUCRY,,
30,NEW,SHU,32,38,NEWSHU,,
30,AVL,CHE,18,62,AVLCHE,,
30,EVE,LIV,24,54,EVELIV,,
30,MCI,BUR,82,5,MCIBUR,,
31,LEI,BHA,54,21,LEIBHA,,
31,TOT,WHU,50,26,TOTWHU,,
31,MUN,SHU,67,11,MUNSHU,,
31,NEW,AVL,37,37,NEWAVL,,
31,WOL,BOU,60,16,WOLBOU,,
31,NOR,EVE,22,52,NOREVE,,
31,LIV,CRY,73,9,LIVCRY,,
31,BUR,WAT,32,40,BURWAT,,
31,SOU,ARS,33,42,SOUARS,,
31,CHE,MCI,25,33,CHEMCI,,
32,AVL,WOL,21,55,AVLWOL,,
32,WAT,SOU,47,26,WATSOU,,
32,CRY,BUR,37,33,CRYBUR,,
32,BHA,MUN,14,64,BHAMUN,,
32,EVE,LEI,32,40,EVELEI,,
32,ARS,NOR,59,17,ARSNOR,,
32,BOU,NEW,47,26,BOUNEW,,
32,WHU,CHE,17,62,WHUCHE,,
32,SHU,TOT,27,46,SHUTOT,,
32,MCI,LIV,42,34,MCILIV,,
33,NOR,BHA,27,44,NORBHA,,
33,MUN,BOU,79,7,MUNBOU,,
33,LEI,CRY,61,14,LEICRY,,
33,WOL,ARS,50,22,WOLARS,,
33,CHE,WAT,62,17,CHEWAT,,
33,BUR,SHU,39,31,BURSHU,,
33,NEW,WHU,34,40,NEWWHU,,
33,LIV,AVL,79,7,LIVAVL,,
33,SOU,MCI,22,57,SOUMCI,,
33,TOT,EVE,39,35,TOTEVE,,
34,CRY,CHE,16,61,CRYCHE,,
34,WAT,NOR,59,16,WATNOR,,
34,ARS,LEI,35,38,ARSLEI,,
34,MCI,NEW,65,16,MCINEW,,
34,WHU,BUR,42,32,WHUBUR,,
34,SHU,WOL,22,48,SHUWOL,,
34,BHA,LIV,24,52,BHALIV,,
34,EVE,SOU,42,31,EVESOU,,
34,BOU,TOT,29,47,BOUTOT,,
34,AVL,MUN,16,63,AVLMUN,,
35,WAT,NEW,52,22,WATNEW,,
35,NOR,WHU,26,48,NORWHU,,
35,LIV,BUR,67,13,LIVBUR,,
