player,pre,club_pos_id
Jordan Pickford,10.35,1
Asmir Begovic,13.2,2
Seamus Coleman,10.7,3
Jonjoe Kenny,10.15,4
Mason Holgate,9.1,5
Ben Godfrey,9.3,6
Yerry Mina,9.55,7
Michael Keane,11.85,8
Vitalii Mykolenko,12.15,9
Jarrad Branthwaite,6.5,10
Fabian Delph,14.2,11
Allan,10.3,12
Jean-Philippe Gbamin,14.6,13
Abdoulaye Doucoure,11.45,14
Tom Davies,10.8,15
Andre Gomes,12.8,16
Donny van de Beek,14.9,17
Dele Alli,11.85,18
Tyler Onyango,8.8,19
Isaac Price,5.25,20
Anwar El Ghazi,15.5,21
Andros Townsend,14,22
Alex Iwobi,12.6,23
Demarai Gray,13.7,24
Anthony Gordon,12.9,25
Richarlison,13,26
Moise Kean,6,27
Lewis Dobbin,5.3,28
Salomon Rondon,10.15,29
Dominic Calvert-Lewin,11.85,30
Cenk Tosun,12.25,31
Ellis Simms,5.25,32
Illan Meslier,10.25,1
Kristoffer Klaesson,18.35,2
Luke Ayling,10.95,3
Cody Drameh,5.6,4
Charlie Cresswell,10.75,5
Diego Llorente,10.9,6
Liam Cooper,12,7
Pascal Struijk,11.15,8
Junior Firpo,9.25,9
Leo Fuhr Hjelde,14.3,10
Robin Koch,8.95,11
Stuart Dallas,11.75,12
Kalvin Phillips,11.15,13
Adam Forshaw,10.35,14
Mateusz Klich,11.9,15
Jamie Shackleton,10.85,16
Crysencio Summerville,14.05,17
Stuart McKinstry,12.5,18
Liam McCarron,9.95,19
Lewis Bate,7.5,20
Jack Harrison,13.5,21
Helder Costa,7.5,22
Raphinha,15.4,23
Daniel James,9.1,24
Tyler Roberts,11.55,25
Rodrigo,11.35,26
Joe Gelhardt,15.6,27
Patrick Bamford,12,28
Sam Greenwood,14.2,29
Kasper Schmeichel,10.5,1
Danny Ward,9.5,2
Ricardo Pereira,13.95,3
James Justin,10.1,4
Daniel Amartey,9.4,5
Jonny Evans,11.65,6
Wesley Fofana,9.95,7
Caglar Soyuncu,10.05,8
Jannik Vestergaard,11.8,9
Timothy Castagne,12.2,10
Ryan Bertrand,4.95,11
Luke Thomas,11.35,12
Wilfred Ndidi,12.5,13
Nampalys Mendy,8,14
Boubakary Soumare,12.2,15
Hamza Choudhury,15.35,16
Youri Tielemans,13.3,17
Kiernan Dewsbury-Hall,11.9,18
Kasey McAteer,15.6,19
Lewis Brunt,9.4,20
Marc Albrighton,12.75,21
Harvey Barnes,15.2,22
James Maddison,15.1,23
Ayoze Perez,19.45,24
Ademola Lookman,14.2,25
Kelechi Iheanacho,12.6,26
Patson Daka,13.6,27
Jamie Vardy,13.9,28
Alisson,12.2,1
Caoimhin Kelleher,12.5,2
Trent Alexander-Arnold,18.7,3
Neco Williams,27.6,4
Joseph Gomez,14.85,5
Joel Matip,14.95,6
Ibrahima Konate,11.1,7
Virgil van Dijk,14,8
Andrew Robertson,17.25,9
Konstantinos Tsimikas,14.45,10
Fabinho,12.1,11
Jordan Henderson,12.55,12
James Milner,14,13
Curtis Jones,13.3,14
Naby Keita,14.35,15
Thiago,15.55,16
Alex Oxlade-Chamberlain,14.65,17
Harvey Elliott,12.6,18
Tyler Morton,11.65,19
Mohamed Salah,18.65,20
Diogo Jota,14.9,21
Roberto Firmino,15.4,22
Sadio Mane,13.8,23
Takumi Minamino,15.6,24
Divock Origi,22.3,25
Kaide Gordon,17.5,26
Luis Diaz,17.25,27
Ederson,10.6,1
Zack Steffen,16,2
Kyle Walker,11.4,3
Joao Cancelo,17.25,4
Ruben Dias,13.35,5
John Stones,14.2,6
Aymeric Laporte,12.7,7
CJ Egan-Riley,21.5,8
Nathan Ake,13.35,9
Benjamin Mendy,13,10
Oleksandr Zinchenko,15.5,11
Fernandinho,15.15,12
Rodri,13.1,13
Bernardo Silva,14.55,14
Ilkay Gundogan,16.75,15
Cole Palmer,12.75,16
James Mcatee,12.6,17
Kevin De Bruyne,20.75,18
Phil Foden,15.1,19
Jack Grealish,13.65,20
Riyad Mahrez,17.8,21
Ferran Torres,13.95,22
Gabriel Jesus,16.9,23
Raheem Sterling,16.1,24
Liam Delap,7.5,25
Kayky,8.7,26
David de Gea,10.35,1
Aaron Wan-Bissaka,12.2,2
Diogo Dalot,12.9,3
Raphael Varane,9.95,4
Victor Lindelof,9.6,5
Eric Bailly,8.25,6
Harry Maguire,10.2,7
Phil Jones,13.3,8
Luke Shaw,10.4,9
Alex Telles,14.1,10
Nemanja Matic,16.2,11
Scott McTominay,11.95,12
Fred,14.25,13
Bruno Fernandes,13.95,14
Paul Pogba,15.55,15
Hannibal Mejbri,3,16
Juan Mata,14.65,17
Jesse Lingard,12.75,18
Alejandro Garnacho,8.7,19
Jadon Sancho,13.2,20
Mason Greenwood,15.05,21
Marcus Rashford,12.4,22
Anthony Elanga,13.05,23
Cristiano Ronaldo,13.6,24
Anthony Martial,12.3,25
Edinson Cavani,12.3,26
Shola Shoretire,8.5,27
Martin Dubravka,10.1,1
Karl Darlow,7.5,2
Freddie Woodman,7,3
Kieran Trippier,17.3,4
Javier Manquillo,11.55,5
Emil Krafth,10.1,6
Fabian Schar,11.15,7
Federico Fernandez,8.75,8
Jamaal Lascelles,8.7,9
Ciaran Clark,7.45,10
Dan Burn,11.75,11
Matt Targett,12.2,12
Jamal Lewis,9.7,13
Paul Dummett,9.9,14
Jacob Murphy,13,15
Matt Ritchie,10.7,16
Isaac Hayden,8.9,17
Sean Longstaff,11,18
Jonjo Shelvey,9.5,19
Joseph Willock,12.75,20
Bruno Guimaraes,16.4,21
Jeff Hendrick,15.65,22
Miguel Almiron,12.6,23
Ryan Fraser,11.5,24
Allan Saint-Maximin,14.9,25
Joelinton,12.5,26
Callum Wilson,11.3,27
Chris Wood,8.6,28
Dwight Gayle,11.7,29
Tim Krul,10.1,1
Angus Gunn,10.6,2
Max Aarons,9.1,3
Sam Byram,11.5,4
Christoph Zimmerman,10,5
Ozan Kabak,10.55,6
Grant Hanley,10.2,7
Ben Gibson,8.35,8
Andrew Omobamidele,10.25,9
Brandon Williams,10,10
Dimitris Giannoulis,14.45,11
Bali Mumba,6,12
Pierre Lees-Melou,11.95,13
Billy Gilmour,10.7,14
Mathias Antonsen Normann,11.6,15
Jacob Sorensen,12,16
Lukas Rupp,11.6,17
Todd Cantwell,9.3,18
Kieran Dowell,11.85,19
Kenny McLean,8.85,20
Przemyslaw Placheta,11.95,21
Milot Rashica,10.7,22
Tony Springett,7,23
Christos Tzolis,11.6,24
Joshua Sargent,10.15,25
Teemu Pukki,9.35,26
Adam Idah,14.5,27
Jonathan Rowe,11.4,28
Alex McCarthy,9.8,1
Fraser Forster,10.5,2
Willy Caballero,6.5,3
Kyle Walker-Peters,12.6,4
Valentino Livramento,12.9,5
Yan Valery,12.35,6
Jan Bednarek,11.8,7
Jack Stephens,10.8,8
Mohammed Salisu,11.6,9
Lyanco,11.65,10
Romain Perraud,9.6,11
Theo Walcott,9.8,12
Nathan Tella,11.5,13
Mohamed Elyounoussi,11.5,14
William Smallbone,14.8,15
Oriol Romeu,12.15,16
Ibrahima Diallo,12.65,17
James Ward-Prowse,14.25,18
Stuart Armstrong,12.75,19
Moussa Djenepo,10.5,20
Nathan Redmond,12.85,21
Armando Broja,11.2,22
Che Adams,12.8,23
Adam Armstrong,10.25,24
Shane Long,13.35,25
Hugo Lloris,11.25,1
Japhet Tanganga,11.15,2
Cristian Romero,12.15,3
Davinson Sanchez,14.55,4
Eric Dier,10.6,5
Joe Rodon,9.45,6
Ben Davies,11.1,7
Emerson Royal,13.6,8
Matt Doherty,17.05,9
Sergio Reguilon,15,10
Pierre-Emile Hojbjerg,12,11
Tanguy Ndombele,11.3,12
Harry Winks,11.7,13
Oliver Skipp,8.15,14
Rodrigo Bentancur,12.1,15
Giovani Lo Celso,15.8,16
Kouassi Ryan Sessegnon,12.3,17
Dejan Kulusevski,18.15,18
Lucas Moura,15.5,19
Son Heung-Min,19.1,20
Bryan Gil,13.1,21
Steven Bergwijn,14.6,22
Harry Kane,15.2,23
Dane Scarlett,17.9,24
Ben Foster,8.7,1
Daniel Bachmann,8.8,2
Jeremy Ngakia,12.15,3
Nicolas Nkoulou,8.45,4
Francisco Femenia Far,10.55,5
Craig Cathcart,8.95,6
William Troost-Ekong,6.45,7
Christian Kabasele,8.55,8
Francisco Sierralta,7.65,9
Samir,9.9,10
Adam Masina,11.35,11
Danny Rose,8.25,12
Hassane Kamara,14.25,13
Peter Etebo,9.85,14
Moussa Sissoko,10.3,15
Tom Cleverley,10.75,16
Imran Louza,13.05,17
Ozan Tufan,9.55,18
Juraj Kucka,12.3,19
Edo Kayembe,11.55,20
Dan Gosling,21.25,21
Ken Sema,11.35,22
Ismaila Sarr,11.35,23
Emmanuel Dennis,15.6,24
Cucho Hernandez,14.45,25
Joao Pedro,14.9,26
Joshua King,12.4,27
Troy Deeney,14.75,28
Ashley Fletcher,14.8,29
Samuel Kalu,12.6,30
Lukasz Fabianski,10.2,1
Alphonse Areola,6.5,2
Vladimir Coufal,11.35,3
Ben Johnson,11.6,4
Ryan Fredericks,6.6,5
Kurt Zouma,9.7,6
Harrison Ashby,16.7,7
Craig Dawson,11.05,8
Angelo Ogbonna,9.6,9
Issa Diop,9.9,10
Aaron Cresswell,11.65,11
Arthur Masuaku,16.15,12
Mark Noble,11.05,13
Declan Rice,12.2,14
Tomas Soucek,11.4,15
Daniel Chesters,9.95,16
Pablo Fornals,12.15,17
Manuel Lanzini,13.3,18
Alex Kral,15.6,19
Sonny Perkins,12.5,20
Nikola Vlasic,14.2,21
Jarrod Bowen,15.3,22
Said Benrahma,14.7,23
Andriy Yarmolenko,12.95,24
Michail Antonio,12,25
Jose Sa,11.45,1
John Ruddy,11.25,2
Ki-Jana Hoever,10.65,3
Maximilian Kilman,11.75,4
Willy Boly,9.55,5
Conor Coady,9.8,6
Romain Saiss,11.9,7
Toti,9.8,8
Jonny,12.15,9
Nelson Semedo,13.6,10
Marcal,13.25,11
Rayan Ait-Nouri,14.55,12
Leander Dendoncker,10,13
Joao Moutinho,11.15,14
Ruben Neves,12.3,15
Morgan Gibbs-White,6.25,16
Luke Cundle,9,17
Daniel Podence,14.9,18
Trincao,15.05,19
Hwang Hee-Chan,10.75,20
Raul Jimenez,10.15,21
Fabio Silva,11.2,22
Adama Traore,14.5,23
Chiquinho,23.2,24
Pedro Neto,14.4,25
Chem Campbell,12.5,26
