player,pre,club_pos_id
Joseph Gomez,5.55,5
Joel Matip,13.9,6
Ibrahima Konate,10.5,7
Virgil van Dijk,9.65,8
Andrew Robertson,13.3,9
Konstantinos Tsimikas,9.35,10
Fabinho,9.75,11
Jordan Henderson,12.05,12
James Milner,12.3,13
Curtis Jones,13.85,14
Naby Keita,12,15
Thiago,13.3,16
Alex Oxlade-Chamberlain,9.75,17
Harvey Elliott,9.75,18
Tyler Morton,9.75,19
Mohamed Salah,15.45,20
Diogo Jota,18.1,21
Roberto Firmino,14.1,22
Sadio Mane,16.75,23
Takumi Minamino,12.35,24
Divock Origi,10.3,25
Kaide Gordon,10.5,26
Luis Diaz,12,27
Ederson,10.9,1
Zack Steffen,4.5,2
Kyle Walker,11.5,3
Joao Cancelo,16.9,4
Ruben Dias,11.85,5
John Stones,13.9,6
Aymeric Laporte,10.55,7
CJ Egan-Riley,8.5,8
Nathan Ake,8.9,9
Benjamin Mendy,13,10
Oleksandr Zinchenko,12.95,11
Fernandinho,13.4,12
Rodri,12.4,13
Bernardo Silva,12.35,14
Ilkay Gundogan,18.1,15
Cole Palmer,12,16
James Mcatee,12,17
Kevin De Bruyne,19.35,18
Phil Foden,17.5,19
Jack Grealish,17.25,20
Riyad Mahrez,16.3,21
Ferran Torres,12.8,22
Gabriel Jesus,13.95,23
Raheem Sterling,13.2,24
Liam Delap,0,25
Kayky,8.25,26
David de Gea,9.85,1
Aaron Wan-Bissaka,14.45,2
Diogo Dalot,11.55,3
Raphael Varane,10.95,4
Victor Lindelof,10.35,5
Eric Bailly,10.15,6
Harry Maguire,12.3,7
Phil Jones,10.15,8
Luke Shaw,15.15,9
Alex Telles,13.25,10
Nemanja Matic,13.45,11
Scott McTominay,12.6,12
Fred,12.1,13
Bruno Fernandes,18.5,14
Paul Pogba,14.5,15
Hannibal Mejbri,14.25,16
Juan Mata,13,17
Jesse Lingard,14.75,18
Alejandro Garnacho,12.75,19
Jadon Sancho,13.85,20
Mason Greenwood,13.35,21
Marcus Rashford,15,22
Anthony Elanga,14.7,23
Cristiano Ronaldo,14.25,24
Anthony Martial,15.3,25
Edinson Cavani,12.3,26
Shola Shoretire,15.5,27
Martin Dubravka,10.8,1
Karl Darlow,10.8,2
Freddie Woodman,10.75,3
Kieran Trippier,11.1,4
Javier Manquillo,10.1,5
Emil Krafth,11,6
Fabian Schar,10,7
Federico Fernandez,9.35,8
Jamaal Lascelles,7.95,9
Ciaran Clark,9.25,10
Dan Burn,11,11
Matt Targett,12.7,12
Jamal Lewis,8.25,13
Paul Dummett,9.7,14
Jacob Murphy,14.7,15
Matt Ritchie,10.45,16
Isaac Hayden,9.8,17
Sean Longstaff,9,18
Jonjo Shelvey,10.65,19
Joseph Willock,16.25,20
Bruno Guimaraes,14.5,21
Jeff Hendrick,9.5,22
Miguel Almiron,12.6,23
Ryan Fraser,12.85,24
Allan Saint-Maximin,18.45,25
Joelinton,12.7,26
Callum Wilson,12.9,27
Chris Wood,11.4,28
Dwight Gayle,11.4,29
Tim Krul,10.6,1
Angus Gunn,9.6,2
Max Aarons,10.55,3
Sam Byram,10.55,4
Christoph Zimmerman,10,5
Ozan Kabak,10.5,6
Grant Hanley,9.75,7
Ben Gibson,9.5,8
